Chris Caves Jr,Disciples of Tzeentch,25 Jan 2020,80.32050055103811
Joe McGough,Disciples of Tzeentch,25 Jan 2020,79.70837929362234
Ritchie McAlley,Disciples of Tzeentch,25 Jan 2020,79.08502611091443
Ian O'Brien,Mawtribes,25 Jan 2020,78.45053857899458
Chris Myhill,Idoneth Deepkin,25 Jan 2020,77.80502676493714
Ric Myhill,Slaves to Darkness,25 Jan 2020,77.14861328751373
JP Stevens,Ossiarch Bonereapers,25 Jan 2020,76.4814333547277
Michael Stewart,Fyreslayers,25 Jan 2020,75.8036347776927
Jon Lee,Disciples of Tzeentch,25 Jan 2020,75.11537796042805
Rob Nixon,Nighthaunt,25 Jan 2020,74.41683586520661
Phil Walter,Flesh Eater Courts,25 Jan 2020,73.70819395315537
Dan George,Ironjawz,25 Jan 2020,72.98965009987649
James Ganis,Disciples of Tzeentch,25 Jan 2020,72.26141448592425
Craig Namvar,Fyreslayers,25 Jan 2020,71.52370946204532
Matt Robertson,Disciples of Tzeentch,25 Jan 2020,70.77676938915917
Benjamin Savva,Bonesplitterz,25 Jan 2020,70.02084045313042
Daniel Arnold,Idoneth Deepkin,25 Jan 2020,69.25618045445647
Tom Bell,Ironjawz,25 Jan 2020,68.48305857306916
Finn Melton,Disciples of Tzeentch,25 Jan 2020,67.70175510852229
Gary Percival,Kharadron Overlords,25 Jan 2020,66.91256119591208
Darryl Jones,Mawtribes,25 Jan 2020,66.11577849795047
Chris Mills,Disciples of Tzeentch,25 Jan 2020,65.31171887368532
Daniel Elkington,Slaves to Darkness,25 Jan 2020,64.50070402443319
Thomas Waller,Idoneth Deepkin,25 Jan 2020,63.68306511756191
Owen Jackson,Ossiarch Bonereapers,25 Jan 2020,62.85914238882992
Kat Binley,Mawtribes,25 Jan 2020,62.02928472405669
Simon Dusing,Kharadron Overlords,25 Jan 2020,61.193849220965
Steve Curtis,Ossiarch Bonereapers,25 Jan 2020,60.35320073209947
Matthew Gouldesbrough,Hosts of Slaanesh,25 Jan 2020,59.507711389785825
Neil Montgomery,Idoneth Deepkin,25 Jan 2020,58.65776011415509
Padds Paddon,Mawtribes,25 Jan 2020,57.803732105310424
Matthew Pardoe,Slaves to Darkness,25 Jan 2020,56.946018320767365
Chris Banks,Skaven,25 Jan 2020,56.08501493934603
Balal Zafar,Cities of Sigmar,25 Jan 2020,55.22112281273846
Will Rose,Tomb Kings,25 Jan 2020,54.35474690601515
Adam Riley,Stormcast Eternals,25 Jan 2020,53.48629572837154
Tom Bunnell,Ironjawz,25 Jan 2020,52.61618075544716
Darren Phipps,Ossiarch Bonereapers,25 Jan 2020,51.74481584457901
Andy Scott,Ironjawz,25 Jan 2020,50.87261664437336
Matthew Croad,Stormcast Eternals,25 Jan 2020,50.0
Stephen Rose,Ironjawz,25 Jan 2020,49.127383355626655
Adam Sinclair,Ironjawz,25 Jan 2020,48.255184155421
Jonathan Cann,Mawtribes,25 Jan 2020,47.38381924455284
Allen Frank,Blades of Khorne,25 Jan 2020,46.51370427162846
Rory Carter,Ironjawz,25 Jan 2020,45.64525309398485
Matt Willis,Ironjawz,25 Jan 2020,44.77887718726155
Declan Waters,Ironjawz,25 Jan 2020,43.91498506065397
Stuart Mann,Ironjawz,25 Jan 2020,43.05398167923264
Player,Hedonites of Slaanesh,25 Jan 2020,42.196267894689576
Kristian Hack,Gloomspite Gitz,25 Jan 2020,41.34223988584491
Chris Caves Snr,Ironjawz,25 Jan 2020,40.49228861021419
Marius Helland Prestoy,Seraphon,25 Jan 2020,39.64679926790055
Jon Kerr,Cities of Sigmar,25 Jan 2020,38.806150779035
James Clark,Gloomspite Gitz,25 Jan 2020,37.97071527594332
John Perkins,Blades of Khorne,25 Jan 2020,37.14085761117008
Josh Cann,Ossiarch Bonereapers,25 Jan 2020,36.316934882438105
Julian Kowalski,Ironjawz,25 Jan 2020,35.499295975566824
Nicky Martin,Mawtribes,25 Jan 2020,34.68828112631468
Travis Kelly,Slaves to Darkness,25 Jan 2020,33.88422150204953
William Morris,Gloomspite Gitz,25 Jan 2020,33.087438804087924
Tim Bland,Disciples of Tzeentch,25 Jan 2020,32.298244891477715
Ethan Leach,Cities of Sigmar,25 Jan 2020,31.51694142693085
Christine Coram,Ironjawz,25 Jan 2020,30.743819545543538
Matthew Pridmore,Blades of Khorne,25 Jan 2020,29.979159546869592
Stu Orman,Slaves to Darkness,25 Jan 2020,29.223230610840833
Reuben Beard,Bonesplitterz,25 Jan 2020,28.47629053795469
