1,Will Rose,Tomb Kings,+43.6
2,Terry Pike,Maggotkin of Nurgle,+29.3
3,Darren Watson,Maggotkin of Nurgle,+29.2
4,Gary Percival,Kharadron Overlords,+28.9
5,Ric Myhill,Beasts of Chaos,+28.6
6,Mark Wildman,Blades of Khorne,+28.5
7,Ritchie McAlley,Gloomspite Gitz,+28.5
8,Martin Morrin,Blades of Khorne,+28.3
9,Tom Parry,Stormcast Eternals,+27.8
10,Leo Rautomen,Ironjawz,+27.5
11,Chris Caves Jr,Disciples of Tzeentch,+27.2
12,Dave Robinson,Flesh Eater Courts,+26.1
13,Ellis Priestley,Fyreslayers,+24.9
14,James Ganis,Flesh Eater Courts,+23.9
15,Chris Myhill,Order,+23.7
16,John Bayliss,Blades of Khorne,+23.5
17,Sam Loving,Stormcast Eternals,+23.4
18,Andy Brown,Nighthaunt,+23.0
19,Richard Arnolds,UNKNOWN_ARMY,+22.8
20,James Chalmers,Gloomspite Gitz,+22.4
21,Giannis Sourtzis,Seraphon,+22.3
22,Benjamin Savva,Bonesplitterz,+22.2
23,Liam Jordan,Nighthaunt,+22.2
24,Tom Mawdsley,Skaventide,+22.1
25,Mike Callaghan,Stormcast Eternals,+21.7
26,James Tinsdale,Idoneth Deepkin,+21.1
27,Jack Armstrong,Daughters of Khaine,+20.5
28,Leigh Martin,Hedonites of Slaanesh,+20.1
29,George Newbould,Gloomspite Gitz,+20.0
30,Joe Clark,Flesh Eater Courts,+19.9
31,Mike Newman,Kharadron Overlords,+19.9
32,Sam Saunders,Maggotkin of Nurgle,+19.1
33,Liam Cook,Idoneth Deepkin,+19.0
34,Alex Bruce,Order,+18.9
35,Ben Curry,Daughters of Khaine,+18.9
36,Matthew Feltham,Daughters of Khaine,+18.8
37,Ben Johnson,Gloomspite Gitz,+18.7
38,Bryan Carmichael,Hedonites of Slaanesh,+18.7
39,Richard Buckler,Blades of Khorne,+18.7
40,Laurie H,Sylvaneth,+18.3
41,Michael Wendel,Mawtribes,+18.1
42,Daniel Ford,Skaventide,+17.9
43,Tony Moore,Flesh Eater Courts,+17.9
44,Russ Veal,Blades of Khorne,+17.8
45,Michael Stewart,Fyreslayers,+17.8
46,Alex Kew,Stormcast Eternals,+17.7
47,Karl Breakspear,Nighthaunt,+17.6
48,George Moudatsos,Beasts of Chaos,+17.6
49,George Vathipoulias,Idoneth Deepkin,+17.5
50,Matthew Gouldesbrough,Seraphon,+17.5
51,Andy Hughes,Legion of Sacrement,+17.5
52,Liam Watts,Hedonites of Slaanesh,+17.4
53,John Craig,Maggotkin of Nurgle,+17.4
54,Dan Mitchell,Seraphon,+17.3
55,Stephen Mitchell,Flesh Eater Courts,+17.3
56,Anthony Boulton,Hedonites of Slaanesh,+17.2
57,Toby Meadows,Skaven,+17.0
58,Byron Orde,Bonesplitterz,+16.9
59,Michael Brough,Skaventide,+16.8
60,Ricky Mee,Skaven,+15.9
61,Donal Taylor,Gloomspite Gitz,+15.8
62,Ralph Hughes,Cities of Sigmar,+15.6
63,Dan Bradshaw,Skaventide,+15.3
64,Craig Namvar,Disciples of Tzeentch,+15.2
65,Rob Symes,Legion of Azgorh,+15.2
