1,James Tinsdale,381
2,Dan Bradshaw,381
3,Tom Mawdsley,380
4,Jack Armstrong,380
5,Leo Rautomen,379
6,Chris Caves Jr,379
7,Benjamin Savva,378
8,Tony Moore,378
9,Darren Watson,377
10,James Ganis,377
11,Matthew Gouldesbrough,377
12,Andy Hughes,376
13,Michael Wilson,376
14,Bryan Carmichael,376
15,Leigh Martin,376
16,Chris Myhill,376
17,Ric Myhill,376
18,Laurie H,376
19,Daniel Ford,375
20,JP Stevens,374
21,Ritchie McAlley,374
22,Martin Morrin,373
23,Richard Arnolds,373
24,Mark Wildman,372
25,John Bayliss,372
26,Steve Curtis,372
27,Liam Watts,371
28,Daniil Osudin,371
29,Andy Bryan,370
30,Max Barton,369
31,Toby Meadows,369
32,Craig Namvar,368
33,Sam Loving,368
34,Les Martin,368
35,Dan George,368
36,Ben Curry,367
37,Alex Bruce,365
38,Anthony Boulton,364
39,Ben Johnson,363
40,Marc Brookes,362
41,Liam Cook,362
42,Terry Pike,362
43,Nathan Watson,361
44,Owen Jackson,361
45,Matt Lyons,361
46,Paul Buckler,359
47,Mark Busby,359
48,Ian Spink,359
49,Daniel Ryan,359
50,Byron Orde,358
51,Teck Loy,358
52,Adrian McWalter,358
53,Gary Percival,357
54,Mike Callaghan,357
55,Russ Veal,357
56,James Chalmers,357
57,Ben Murphy,354
58,Joe McGough,353
59,Daniel White,352
60,Colin Cochrane,351
61,Michael Stewart,351
62,Karl Breakspear,351
63,Simon Eccles,350
64,Adam Mumford,348
65,Matthew Feltham,348
66,John Craig,347
67,William Barton,347
68,Stephen Mitchell,346
69,Richard Buckler,346
70,John Burgess,346
71,David Jack,346
72,Gabe Huddlestone,346
73,Martin Swaffield,345
74,Chris Tomlin,344
75,Chris Banks,343
76,Adam Cunis,343
77,Chris Francis,343
78,Thomas Waller,342
79,Jack Mayland,341
80,David Nemeth,341
81,Rob Hull,341
82,Sam Saunders,341
83,Donal Taylor,339
84,Craig Graham,339
85,Mike Wilding,339
86,Eric Hoerger,339
87,Michael Brough,338
88,Tom Bell,337
89,Adam Hall,335
90,James Boots,335
91,Ricky Mee,334
92,Neil Montgomery,334
93,Vincent Chan,334
94,Christian Moore,332
95,Sebastian Del Monte,330
96,James Powell,330
97,Neil Samuels,329
98,Player,329
99,Louis Medows,329
100,Joe Purcell,328
101,Dan Mitchell,326
102,Ben Mardle,326
103,Declan McKitrich,325
104,Alex Jones,325
105,Alex Kew,322
106,Phil McGuiness,320
107,Thomas Lemoine,320
108,Simon Cobb,316
109,Stuart West,315
110,Rob Wright,315
111,Seb Donley,313
112,Tom Fretwell,312
113,William Philpott,312
114,Chris Caves Snr,310
115,Maxime Julian,308
116,Mark Curtis,308
117,Rob Nixon,306
118,James Grant,306
119,Simon Froley,305
120,Steven Phillips,304
121,Daniel Arnold,302
122,Nick Thompson,302
123,Daniel Scott,301
124,Jj Cropley,301
125,Matt Rennie,299
126,Dave Carter,297
127,Chris Hibbins,296
128,Mike Newman,296
129,Richard Hudspith,295
130,Ben Cronin,293
131,Rob Bradley,292
132,James Hobbs,290
133,Darron Styles,287
134,Andrew Lewis,285
135,Shane Ford,284
136,Will O'Siorain,283
137,Adam Sinclair,283
138,Heath Barnes,283
139,Dave Glaysher,281
140,Dave Robinson,279
141,Nathan Sandison,278
142,Ralph Hughes,278
143,Ellis Priestley,277
144,Kevin Grimes,276
145,Michael Wendel,276
146,Paul Marshallsay,275
147,James Williams,275
148,Jay Kinsella,274
149,Micheal Bennett,274
150,Charles Hollom,274
151,Matthew Croad,273
152,Sam Watson,272
153,Miles Hewitt,271
154,Craig Chesters,270
155,Andy Talbot,268
156,Ciaran Smyth,268
157,Darren Phipps,267
158,Marc Wilson,266
159,Will Spencer,266
160,Tim Unwin,266
161,Michael Browning,265
162,Tom Parry,265
163,Joe Clark,264
164,Balal Zafar,261
165,Aaron Walters,261
166,Johnny Armstrong,260
167,Aaron Wilson,258
168,Mark Roberts,257
169,Joel Smith,257
170,Carl Bagnall,257
171,Andy Davies,255
172,George Vathipoulias,254
173,Will Rose,251
174,Piotr Kurkowski,251
175,John Connelly,250
176,Angus Brain,250
177,George Moudatsos,250
178,Anthony Lewis,248
179,Matthew Pardoe,247
180,Richard Flood,246
181,Tom Lees,246
182,Ollie Fox,246
183,Rob Kelly,245
184,Giannis Sourtzis,245
185,Sam Sendell,245
186,Ceri Robson,243
187,Lee Bromley,242
188,Callum Sinclair,241
189,Andrew Stephen,241
190,Kevin Low,241
191,Paul Haley,240
192,Alex Tooth,240
193,Chris Carroll,239
194,Matthew Arnold,238
195,John Williams,238
196,Simon Holmes,237
197,Ross Joyce,237
198,Janos Szaniszlo,236
199,Tom Gilboy,236
200,Hugh Halligan,235
201,Adam Rawson,233
202,John Dale,233
203,Andy Scott,231
204,Chris Archibald,231
205,Ken Chambers,230
206,Peter Humpage,229
207,Aiden Clieve,228
208,Paul di Duca,228
209,Craig Morrow,228
210,Ethan Leach,226
211,Forrest Wilhoite,226
212,Stuart Millar,223
213,Chris Mills,222
214,David Kane,221
215,Ian Ralph,220
216,Andy Brown,220
217,Liam Jordan,220
218,Nick Featherstone,220
219,Martin Clarke,219
220,Alan Witherden,219
221,Jonathan Forde,217
222,Myles Mulkerrins,216
223,Rob Symes,215
224,Matthew Walker,213
225,George Newbould,212
226,Aaron Bailey,212
227,Richard Elsdon,210
228,Greg Shelton,209
229,Troy Hardy,208
230,James Warth,204
231,Adam Martin,204
232,Paul Rea,204
233,Matt Tinsdale,203
234,Travis Kelly,203
235,Tom Hewitt,202
236,Joe Jackson,202
237,Darryl Jones,201
238,Nicholas Ruesink,201
239,Kyle Brunskill,200
240,Wayne Rendell,199
241,Luke Whitehead,198
242,Jack Spencer,198
243,Ben Raven,197
244,Luke Power,197
245,Gareth Holmes,195
246,Paul Coram,191
247,Alex Ley,191
248,Tim Holbrook,190
249,Luke Morton,190
250,Jake Powis,189
251,Michael Cook,187
252,Andy Wood,186
253,Ian O'Brien,186
254,Jack Westaway,186
255,Conor McNama,183
256,Dean McLaughlin,183
257,Matt Robertson,183
258,Danny Biddle,182
259,Elliot Ireland,182
260,Adrian Downey,182
261,Phil Walter,181
262,Sean McKechnie,180
263,Andrew Hughes,179
264,Guillaume Garnier,179
265,Stu Wolf,179
266,Adam Turner,178
267,Frank Straw,178
268,Phillippe Peylet,178
269,Adam Riley,177
270,Kieran Harper,177
271,Tom Blaxall,177
272,Andy Currie,177
273,Christophe Salemi,176
274,Nathan Prescott,176
275,Martjin Zuidema,176
276,James Wilson,176
277,Ben Harper,175
278,Stuart Hodges,175
279,Kevin Gillett,175
280,David Rolland,175
281,Matthew Hinton,173
282,Daniel Asensio,172
283,Alasdair Hutchinson,167
284,Jack McQuiggin,167
285,Mikey Gilson,167
286,Ben Smith,166
287,Steve Dooley,166
288,Jonny Statham,165
289,Peter Pratt,165
