NEW_EVENT_TAG,BLACKOUT IV,11 Aug 2019,5
James Tinsdale,Idoneth Deepkin
Bryan Carmichael,Hedonites of Slaanesh
Ben Johnson,Hedonites of Slaanesh
JP Stevens,Hedonites of Slaanesh
Matthew Feltham,Stormcast Eternals
Michael Wilson,Hedonites of Slaanesh
Tom Bell,Ironjawz
Sam Loving,Stormcast Eternals
Elliot Ireland,Stormcast Eternals
Joe Purcell,Hedonites of Slaanesh
Christian Moore,Hedonites of Slaanesh
Max Barton,Blades of Khorne
Liam Cook,Fyreslayers
Martin Morrin,Blades of Khorne
John Burgess,Blades of Khorne
Nick Hoen,Blades of Khorne
Steve Curtis,Flesh Eater Courts
Chris Francis,Sylvaneth
Benjamin Savva,Bonesplitterz
Andrew Lewis,Grand Host of Nagash
Joe Clark,Disciples of Tzeentch
Alex Bruce,Order
George Theodosopoulos,Maggotkin of Nurgle
Daniel Arnold,Legion of Grief
Matt Tinsdale,Blades of Khorne
Michael Browning,Flesh Eater Courts
Daniel White,Skaventide
Adam Hall,Hedonites of Slaanesh
Ritchie McAlley,Kharadron Overlords
Balal Zafar,Wanderers
Leo Rautomen,Ironjawz
Conor McNama,Disciples of Tzeentch
Johnathon Pano Kyprianidis,Blades of Khorne
Adam Mumford,Idoneth Deepkin
Marc Brookes,Skaventide
Johnny Armstrong,Skaventide
Dan George,Blades of Khorne
Tom Fretwell,Flesh Eater Courts
Chris Lewis,Hedonites of Slaanesh
Sebastian Del Monte,Hedonites of Slaanesh
Kane Holloway,Blades of Khorne
Sam Sendell,Legion of Blood
William Philpott,Order
Matt Lyons,Idoneth Deepkin
Kieran Harper,Ironjawz
Reuben Beard,Bonesplitterz
Stephen Smith,Gloomspite Gitz
Alex Jones,Maggotkin of Nurgle
Maxime Julian,Maggotkin of Nurgle
Matthew Arnold,Stormcast Eternals
Matthew Croad,Stormcast Eternals
Tom Fownes,Order
Tom Lees,Idoneth Deepkin
Owen Jackson,Sylvaneth
Joel Smith,Maggotkin of Nurgle
Paul Buckler,Seraphon
Matthew Ward,Legion of Blood
Phillip Jenkins,Gloomspite Gitz
Chris Hibbins,Sylvaneth
Gene Coates,Blades of Khorne
Chris Cousens,Stormcast Eternals
Wayne Rendell,Flesh Eater Courts
Heath Barnes,Blades of Khorne
Ian Spink,Bonesplitterz
Simon Froley,Ironjawz
Jon Cann,Gloomspite Gitz
Jordan,Kharadron Overlords
James Eveleigh,Gloomspite Gitz
Nick Featherstone,Idoneth Deepkin
Greg Shelton,Blades of Khorne
Shaun Lang,Nighthaunt
Damien Medhurst,Stormcast Eternals
Steven Phillips,Blades of Khorne
Brook Hirst,Flesh Eater Courts
William Morris,Gloomspite Gitz
Angus Brain,Beasts of Chaos
Kyle Salmond,Idoneth Deepkin
Mark Saunders,Destruction
Duncan Stacy,Nighthaunt
Adam Button,Seraphon
Charles Black,Skaventide
Pete Wrench,Kharadron Overlords
Matt Clarke,Idoneth Deepkin
Josh Cann,Maggotkin of Nurgle
Chris Allison,Maggotkin of Nurgle
James Henley,Skaventide
Tom Hewitt,Flesh Eater Courts
Patrick O'Sullivan,Idoneth Deepkin
John Greene,Sylvaneth
Edward Hamon,Disciples of Tzeentch
Mark Curtis,Gloomspite Gitz
Jenny Lyons,Nighthaunt
Graeme Wallace,Sylvaneth
Pete Allison,Legion of Grief
James Beeden,Seraphon
Andy Toben,Nighthaunt
