NEW_EVENT_TAG,Doggers Invitational,22 Jun 2019,5
Steve Curtis,Flesh Eater Courts
Richard Buckler,Blades of Khorne
Liam Cook,Skaventide
Chris Tomlin,Order Draconis
Michael Wilson,Hedonites of Slaanesh
Steven Phillips,Blades of Khorne
Paul Petford,Sylvaneth
Tom Hewitt,Flesh Eater Courts
Mark Curtis,Gloomspite Gitz
Ben Smith,Stormcast Eternals
Aaron Bailey,Destruction
Kieran Harper,Ironjawz
Ricky Mee,Grand Host of Nagash
Matt Clarke,Idoneth Deepkin
Johnathon Pano Kyprianidis,Blades of Khorne
Matthew Arnold,Stormcast Eternals
Andy Talbot,Stormcast Eternals
Wayne Holt,Skaventide
Wayne Rendell,Fyreslayers
Matt Lyons,Ironjawz
Paul Marshallsay,Disciples of Tzeentch
Richard Morley,Gloomspite Gitz
Wayne Kemp,Skaventide
Dominic Hook,Skaventide
Ben Diesel,Daughters of Khaine
James Eveleigh,Hedonites of Slaanesh
Owen Farmer,Disciples of Tzeentch
Laurie H,Blades of Khorne
Patrick O'Sullivan,Beasts of Chaos
Jenny Lyons,Nighthaunt
David Fulbrook,Maggotkin of Nurgle
Richard Belfield,Flesh Eater Courts
William Philpott,Order
Martin Brooke,Stormcast Eternals
