NEW_EVENT_TAG,Frozen Empires,30 Nov 2019,5
Chris Caves Jr,Orruk Warclans
Rob Wright,Skaventide
Richard Flood,Hedonites of Slaanesh
Nathan Sandison,Ossiarch Bonereapers
Stephen Mitchell,Order
Shane Ford,Cities of Sigmar
Chris Archibald,Idoneth Deepkin
Donal Taylor,Mawtribes
Chris Caves Snr,Orruk Warclans
Will O'Siorain,Idoneth Deepkin
Richard Eddon,Orruk Warclans
Jay Kinsella,Blades of Khorne
Neil Montgomery,Hedonites of Slaanesh
Craig Morrow,Skaventide
Ken Chambers,Flesh Eater Courts
Rob Symes,Skaventide
Rob Kelly,Flesh Eater Courts
Samuel Green,Skaventide
Laura McNeill,Flesh Eater Courts
Colin Cochrane,Cities of Sigmar
Sean Murray,Stormcast Eternals
Chris Elliot,Skaventide
Simon McPolin,Stormcast Eternals
Barry White,Mawtribes
Martin Laughlin,Skaventide
Evan White,Mawtribes
Stephen Surgenor,Kharadron Overlords
Kev Harrington,Flesh Eater Courts
