NEW_EVENT_TAG,London Calling,1 Apr 2017,5
Jack Armstrong,Destruction
Leo Rautomen,Disciples of Tzeentch
Nathan Brooks,Stormcast Eternals
Adam Cunis,Sylvaneth
Ben Murphy,Stormcast Eternals
Simon Froley,Ironjawz
Ross Howard,Sylvaneth
Marc Wilson,Stormcast Eternals
Chris Nielson,Disciples of Tzeentch
John Burgess,Khorne Bloodbound
Keiron Alexander,Death
Alex Clark,Destruction
Declan Wynn,Order
Matt Wilson,Order
Owyn Abram,Death
Thomas Lambert,Order
Aaron Kenny,Sylvaneth
Dave Busse,Chaos
David Silva,Khorne Bloodbound
Ed Hannon ,Chaos
Luke Smith,Chaos
