NEW_EVENT_TAG,Sheffield Slaughter,25 Feb 2017,5
Alex Harrison,Order
Darran Palmer,Destruction
Mark Wildman,Chaos
Terry Pike,Chaos
Gary Percival,Chaos
Liam Jordan,Order
Dan Bradshaw,Chaos
Andy Oakham,Chaos
Johnathon Pano Kyprianidis,Chaos
Ben Johnson,Order
Ricky Mee,Death
Chris Tomlin,Ironjawz
Andy Talbot,Order
Karl Breakspear,Chaos
Martin Morrin,Destruction
Ben Curry,Chaos
Chris Green,Order
Bryan Carmichael,Chaos
Joe Purcell,Chaos
Liam Cook,Order
Jon Green,Order
JP Stevens,Order
Russ Veal,Destruction
Donal Taylor,Destruction
Chris Appleford,Death
Matthew Hinton,Order
Marc Brookes,Chaos
Tony Moore,Death
Adam Hall,Death
Mark Busby,Order
Tom Fretwell,Order
Paul Haley,Destruction
Dan Heelan,Order
Luke McHugh,Chaos
Simon Clifford,Destruction
Matt Robertson,Destruction
Matthew Arnold,Chaos
Les Martin,Order
Keith Ball,Death
Adam Cunis,Order
Adrian McWalter,Order
Adam Hazelwood,Order
William Barton,Order
Nathan Foster,Chaos
Colin Mather,Death
Shane Ball,Destruction
Adam Ryland,Death
James Ramsay,Order
Ben Cronin,Destruction
Nigel Chorlton,Destruction
Nathan Hoole,Chaos
Paul Buckler,Chaos
Stewart Callander,Destruction
Matt Oakley,Chaos
Craig Moore,Destruction
Alex Gilbank,Chaos
Gav Roath,Order
Declan Waters,Destruction
Rob Boyce,Order
Matt Lyons,Chaos
Tim Fisher,Chaos
Ben Price,Destruction
Paul Marshallsay,Destruction
Dave Roberts,Order
Craig Carlton,Chaos
Adam Sinclair,Chaos
Ben Smith,Destruction
Sam Watson,Chaos
Wayne Kemp,Chaos
Adam Rawson,Order
Ben Atkinson,Destruction
Jane Slater,Order
