NEW_EVENT_TAG,War in the Mortal Realms XI,21 Dec 2019,3
Benjamin Savva,Bonesplitterz
Owen Jackson,Blades of Khorne
Neil Samuels,Hosts of Slaanesh
Liam Tommey,Skaventide
John Burgess,Blades of Khorne
Joe McGough,Ossiarch Bonereapers
Adam Cunis,Cities of Sigmar
Matthew Gouldesbrough,Hosts of Slaanesh
Lewis Swan,Blades of Khorne
Marc Wilson,Cities of Sigmar
Ian Tong,Ossiarch Bonereapers
Donal Taylor,Mawtribes
Simon Froley,Legion of Azgorh
Angus Brain,Stormcast Eternals
Dan Barwick,Fyreslayers
Rob Wales,Big Waaagh
Tom Gilboy,Idoneth Deepkin
Lee Whitely,Mawtribes
James Grant,Stormcast Eternals
Ross Howard,Gloomspite Gitz
