NEW_EVENT_TAG,Warhammer Fest,28 May 2017,5
Joe McGough,Disciples of Tzeentch
Benjamin Savva,Destruction
Bethany Taylor,Disciples of Tzeentch
John Hickton,Chaos
Joe Jackson,Sylvaneth
Byron Orde,Destruction
Matt Pardoe,Ironjawz
Jon Lee,Disciples of Tzeentch
James O'Brien,Kharadron Overlords
Nicky Martin,Destruction
Riyathe Al,Chaos
Matthew Langton,Chaos
Dan Loxton,Disciples of Tzeentch
Jack Spencer,Flesh Eater Courts
Mike Wills,Destruction
Hugh MacCuish,Death
Ceri Scanlon,Ironjawz
Gareth Holmes,Ironjawz
Anthony Hagan,Kharadron Overlords
Adam Sierens,Death
Christopher Langton,Stormcast Eternals
James Tierney,Stormcast Eternals
Mark Stanley,Order
Chris Tutill,Disciples of Tzeentch
Carl Martin,Order
William Ingham,Order
Scott Leckie,Flesh Eater Courts
Ian Stanford,Ironjawz
