NEW_EVENT_TAG,Winter Warfare,20 Jan 2018,3
Matthew Tullock,Kharadron Overlords
Kyle Brunskill,Stormcast Eternals
Edward Proom,Blades of Khorne
Phillip Gibbons,Legion of Azgorh
Steve Sanderson,Disciples of Tzeentch
Sam Goodwin,Deathlords
Richard Hudspith,Spiderfang Grots
David Thompson,Sylvaneth
Simon Payne,Sylvaneth
Graeme Donaldson,Hosts of Slaanesh
Lee Hamilton,Fyreslayers
Tom Healey,Death
Stephen Bell,Blades of Khorne
Richard Elsdon,Kharadron Overlords
Luke Evans,Death
Scott Wall,Sylvaneth
Lee Foo,Deathlords
Alex Champion,Blades of Khorne
Graham Shirley,Destruction
Ian Crew,Maggotkin of Nurgle
Mike Slowy,Maggotkin of Nurgle
Ivan Reeves,Death
Andrew Thompson,Beastclaw Raiders
Adam Purves,Slaves to Darkness
