NEW_EVENT_TAG,Battle of Copenhagen 2020,15-02-2020,5
Adam Sääf,-,0/0/0
Alex Groskopf,-,0/0/0
Alexander Hansen,-,0/0/0
Anders Knudsen,-,0/0/0
Casper Karlsmose,-,0/0/0
Christoffer Karlsmose,-,0/0/0
Dennis Bengtsson ,-,0/0/0
Felix Björnberg,-,0/0/0
Henrik Seehuusen,-,0/0/0
Jannick Teige,-,0/0/0
Jesper melander,-,0/0/0
Jimmi Jacobsen,-,0/0/0
Jonathan Anholm,-,0/0/0
Kasper agdal,-,0/0/0
Kristoffer Pahl,-,0/0/0
Lena Jensen,-,0/0/0
Liara Pamnell,-,0/0/0
Mads Møller Christiansen,-,0/0/0
Mikkel Flindt,-,0/0/0
Mikkel Schultz,-,0/0/0
Morten Borre Hansen,-,0/0/0
Morten Holst Zachariasen,-,0/0/0
Morten Poulsen,-,0/0/0
Morten Wifstrand,-,0/0/0
Morten Winkel,-,0/0/0
Nicklas Brynje,-,0/0/0
Niclas Hansson,-,0/0/0
Rasmus Mortensen,-,0/0/0
Rasmus Nielsen,-,0/0/0
Rasmus Purkhus,-,0/0/0
Richardt Olsen,-,0/0/0
Rune Holse,-,0/0/0
Simon Eliasson,-,0/0/0
Stephen Lüdeking,-,0/0/0
Theis Thulin,-,0/0/0
Thomas Ackermann,-,0/0/0
Thomas Henriksen,-,0/0/0
Timm Nyegaard,-,0/0/0
