NEW_EVENT_TAG,Battlestation 1000pts AOS Games Day,31-03-2019,3
Ryan Kruger,-,3/0/0
James Sharman,-,3/0/0
Gabe T Hanna,-,2/0/1
Evie Lockhart,-,2/0/1
Nathan Little,-,2/0/1
Luke Gooley,-,2/0/1
Matt Murdoch,-,2/0/1
Pat Carter,-,2/0/1
Gary Houschildt,-,2/0/1
Jesse Gough,-,1/0/2
Brady Abberton,-,1/0/2
Daniel Dries,-,1/0/2
Jonathon Seth,-,1/0/2
Isaac Smith,-,1/0/2
Jacobi Houschildt,-,1/0/2
Adam Norris,-,1/0/2
Nat Ayano,-,0/0/3
Trevor O\'Hanlon,-,0/0/3
Ryan Kruger,Matt Murdoch,Ryan Kruger,Daniel Dries,Ryan Kruger,Isaac Smith
James Sharman,Nathan Little,James Sharman,Jacobi Houschildt,James Sharman,Evie Lockhart
Gabe T Hanna,Daniel Dries,Gabe T Hanna,Gary Houschildt,Pat Carter,Gabe T Hanna
Evie Lockhart,Jesse Gough,Evie Lockhart,Brady Abberton,James Sharman,Evie Lockhart
James Sharman,Nathan Little,Nathan Little,Pat Carter,Nathan Little,Adam Norris
Luke Gooley,Jonathon Seth,Luke Gooley,Nat Ayano,Daniel Dries,Luke Gooley
Ryan Kruger,Matt Murdoch,Matt Murdoch,Jonathon Seth,Matt Murdoch,Nat Ayano
Pat Carter,Isaac Smith,Nathan Little,Pat Carter,Pat Carter,Gabe T Hanna
Gary Houschildt,Jacobi Houschildt,Gabe T Hanna,Gary Houschildt,Gary Houschildt,Brady Abberton
Evie Lockhart,Jesse Gough,Jesse Gough,Trevor O\Hanlon,Jacobi Houschildt,Jesse Gough
Brady Abberton,Trevor O\Hanlon,Evie Lockhart,Brady Abberton,Gary Houschildt,Brady Abberton
Gabe T Hanna,Daniel Dries,Ryan Kruger,Daniel Dries,Daniel Dries,Luke Gooley
Luke Gooley,Jonathon Seth,Matt Murdoch,Jonathon Seth,Jonathon Seth,Trevor O
Pat Carter,Isaac Smith,Isaac Smith,Adam Norris,Ryan Kruger,Isaac Smith
Gary Houschildt,Jacobi Houschildt,James Sharman,Jacobi Houschildt,Jacobi Houschildt,Jesse Gough
Adam Norris,Nat Ayano,Isaac Smith,Adam Norris,Nathan Little,Adam Norris
Adam Norris,Nat Ayano,Luke Gooley,Nat Ayano,Matt Murdoch,Nat Ayano
Brady Abberton,Trevor O\Hanlon,Jesse Gough,Trevor O\Hanlon,Jonathon Seth,Trevor O
