NEW_EVENT_TAG,Bloodshed In The Realms 2019,31-08-2019,3
Laurie Huggett-Wilde,Sylvaneth,3/0/0
Dan Ryan,Skaven,3/0/0
Martin Clarke,Skaven,3/0/0
Darron Styles,Seraphon,2/0/1
Alex Jones,Skaven,2/0/1
Benjamin Savva,Skaven,2/0/1
Mark curtis,Sylvaneth,2/0/1
Myles Mulkerrins,Ironjawz,2/0/1
Angus Brain,Stormcast Eternals,2/0/1
Neil Samuels,Hosts of Slaanesh,2/0/1
Bryn Roberts,Sylvaneth,1/0/2
Owen Jackson,Sylvaneth,1/0/2
Matt Rogers,Skaven,1/0/2
Barry Hall,Disciples Of Tzeentch,1/0/2
Liam Prendergast,Skaven,1/0/2
Matt Ainge,Gloomspite Gitz,1/0/2
Umar Ali,Legion of Blood,1/0/2
Johnny Armstrong,Skaven,0/0/3
Jack Davenport,Stormcast Eternals,0/0/3
Carl Hewson,Gloomspite Gitz,0/0/3
BLAH,-,0/0/0
Laurie Huggett-Wilde,Benjamin Savva,Laurie Huggett-Wilde,Alex Jones,Laurie Huggett-Wilde,Carl Hewson
Dan Ryan,Myles Mulkerrins,Dan Ryan,Mark curtis,Dan Ryan,Bryn Roberts
Martin Clarke,Matt Rogers,Martin Clarke,Owen Jackson,Martin Clarke,Darron Styles
Darron Styles,Owen Jackson,Darron Styles,Carl Hewson,Martin Clarke,Darron Styles
Alex Jones,Liam Prendergast,Laurie Huggett-Wilde,Alex Jones,Alex Jones,Angus Brain
Laurie Huggett-Wilde,Benjamin Savva,Benjamin Savva,Matt Rogers,Benjamin Savva,Neil Samuels
Mark curtis,Bryn Roberts,Mark curtis,Matt Ainge,Dan Ryan,Mark curtis
Dan Ryan,Myles Mulkerrins,Myles Mulkerrins,Liam Prendergast,Myles Mulkerrins,Barry Hall
Angus Brain,Barry Hall,Angus Brain,Jack Davenport,Alex Jones,Angus Brain
Neil Samuels,Jack Davenport,Neil Samuels,Johnny Armstrong,Benjamin Savva,Neil Samuels
Mark curtis,Bryn Roberts,Bryn Roberts,Matt Ainge,Dan Ryan,Bryn Roberts
Darron Styles,Owen Jackson,Martin Clarke,Owen Jackson,Owen Jackson,Johnny Armstrong
Martin Clarke,Matt Rogers,Benjamin Savva,Matt Rogers,Matt Rogers,Umar Ali
Angus Brain,Barry Hall,Barry Hall,Umar Ali,Myles Mulkerrins,Barry Hall
Alex Jones,Liam Prendergast,Myles Mulkerrins,Liam Prendergast,Liam Prendergast,Jack Davenport
Matt Ainge,Carl Hewson,Mark curtis,Matt Ainge,Bryn Roberts,Matt Ainge
Umar Ali,Johnny Armstrong,Barry Hall,Umar Ali,Matt Rogers,Umar Ali
Umar Ali,Johnny Armstrong,Neil Samuels,Johnny Armstrong,Owen Jackson,Johnny Armstrong
Neil Samuels,Jack Davenport,Angus Brain,Jack Davenport,Liam Prendergast,Jack Davenport
Matt Ainge,Carl Hewson,Darron Styles,Carl Hewson,Laurie Huggett-Wilde,Carl Hewson
