NEW_EVENT_TAG,Fall of The Old World V,16-03-2019,5
Jp Ganis,Flesh Eater Courts,5/0/0
Mike Callaghan,Stormcast Eternals,4/0/1
Craig Graham,Grand Host of Nagash,4/0/1
Leigh Martin,Daughters Of Khaine,4/0/1
Liam Watt,Grand Host of Nagash,4/0/1
John B,Skaven,4/0/1
Stu West,Sylvaneth,4/0/1
John Craig,Maggotkin of Nurgle,4/0/1
Ross Joyce,Legion of Blood,3/0/2
David Nemeth (Loke),Grand Host of Nagash,3/0/2
Nathan Watson,Idoneth Deepkin,3/0/2
Phil McGuinness,Skaven,3/0/2
fraser mcwhirter,Grand Host of Nagash,3/0/2
Mark Roberts,Seraphon,3/0/2
Lyndon Sinclair,Hosts of Slaanesh,3/0/2
MATTR,Moonclan Grots,3/0/2
Sean Mckechnie,Spiderfang Grots,3/0/2
Johnny Forde,Ironjawz,2/0/3
Little Waaagh,Bonesplitterz,2/0/3
Callum Sinclair,Ironjawz,2/0/3
Rich Scott,Stormcast Eternals,2/0/3
Scott Pirie,Warherd,2/0/3
Erik Bews,Slaves To Darkness,2/0/3
Grant Fraser,Bonesplitterz,2/0/3
Kat Fekete,Idoneth Deepkin,2/0/3
Grantmudie,Ironjawz,2/0/3
Rhys Inglis,Hosts of Slaanesh,2/0/3
John Harper,Tzeentch Arcanites,2/0/3
Graeme Davidson,Stormcast Eternals,2/0/3
Scott Smith,Flesh Eater Courts,2/0/3
Stephen Ramage,Nighthaunt,1/0/4
Jamie McHugh,Stormcast Eternals,1/0/4
Fake version of Brian C,Stormcast Eternals,1/0/4
Andrew Stephen,Idoneth Deepkin,1/0/4
Shane Kingston,Daemons Of Tzeentch,0/0/5
David Norval,Legion of Sacrament,0/0/5
Jp Ganis,Leigh Martin,Jp Ganis,David Nemeth (Loke),Jp Ganis,Ross Joyce,Jp Ganis,John Bayliss,Jp Ganis,fraser mcwhirter
Mike Callaghan,Nathan Watson,Mike Callaghan,John Harper,Mike Callaghan,Graeme Davidson,Mike Callaghan,Rhys Inglis,Stu West,Mike Callaghan
Craig Graham,Ross Joyce,Leigh Martin,Craig Graham,Craig Graham,Liam Watt,Craig Graham,Mark Roberts,Craig Graham,Grantmudie
Jp Ganis,Leigh Martin,Leigh Martin,Craig Graham,Leigh Martin,scott smith,Leigh Martin,Lyndon Sinclair,Leigh Martin,Scott Pirie
Liam Watt,Lyndon Sinclair,Liam Watt,MATTR,Craig Graham,Liam Watt,Liam Watt,Callum Sinclair,Liam Watt,Kat Fekete
John Bayliss,David Nemeth (Loke),John Bayliss,Phil McGuinness,John Bayliss,Erik Bews,Jp Ganis,John Bayliss,John Bayliss,Shane Kingston
Stu West,Rich Scott,Stu West,Rhys Inglis,John Harper,Stu West,Stu West,John Craig,Stu West,Mike Callaghan
John Craig,John Harper,John Craig,scott smith,John Craig,Stephen Ramage,Stu West,John Craig,John Craig,Rhys Inglis
Craig Graham,Ross Joyce,Ross Joyce,fraser mcwhirter,Jp Ganis,Ross Joyce,Ross Joyce,Rich Scott,Ross Joyce,Sean Mckechnie
John Bayliss,David Nemeth (Loke),Jp Ganis,David Nemeth (Loke),David Nemeth (Loke),Nathan Watson,David Nemeth (Loke),Erik Bews,David Nemeth (Loke),Little Waaagh
Mike Callaghan,Nathan Watson,Nathan Watson,Scott Pirie,David Nemeth (Loke),Nathan Watson,Nathan Watson,Johnny Forde,Nathan Watson,Phil McGuinness
