NEW_EVENT_TAG,Fall of The Old World VI,14-03-2020,5
Jack Carruthers,Ironjawz,0/0/0
Liam Watt,Ossiarch Bonereapers,0/0/0
Alan Mandelson,Beasts of Chaos,0/0/0
Stephen Ramage,Kharadron Overlords,0/0/0
Scott Smith,Flesh Eater Courts,0/0/0
Grant Fraser,Fyreslayers,0/0/0
Rami Jerrow,Ossiarch Bonereapers,0/0/0
Andrew Stephen,Nighthaunt,0/0/0
Jamie ferguson,Orruks,0/0/0
Lana del Rlyeh,Ironjawz,0/0/0
Tusleplopp,Nighthaunt,0/0/0
MATTR,Fyreslayers,0/0/0
Callum Sinclair,Kharadron Overlords,0/0/0
Paul Perkins,Skaven Pestilens,0/0/0
Ryan Hawley,Maggotkin of Nurgle,0/0/0
Matt Harrison,Cities of Sigmar,0/0/0
David Jack,Disciples Of Tzeentch,0/0/0
Rich Hudspith,Sylvaneth,0/0/0
Mark Roberts,Ogor Mawtribes,0/0/0
Kat Fekete,Ogor Mawtribes,0/0/0
Scott Pirie,Blades of Khorne,0/0/0
David Nemeth (Loke),Disciples Of Tzeentch,0/0/0
Leigh Martin,Disciples Of Tzeentch,0/0/0
Simon Prime,Gloomspite Gitz,0/0/0
Iain Hunter,Ogor Mawtribes,0/0/0
Phil McGuinness,Kharadron Overlords,0/0/0
Paul Whitehead ,Ogor Mawtribes,0/0/0
John Craig,Maggotkin of Nurgle,0/0/0
Ben cronin,Sylvaneth,0/0/0
Kyle Brunskill,Ogor Mawtribes,0/0/0
Sean Mckechnie,Kharadron Overlords,0/0/0
John Harper,Disciples Of Tzeentch,0/0/0
James Chalmers,Gloomspite Gitz,0/0/0
Martin Swaffield,Idoneth Deepkin,0/0/0
John B,Blades of Khorne,0/0/0
Jane Slater ,Seraphon,0/0/0
Joshua Richardson,Blades of Khorne,0/0/0
Ian Spink,Bonesplitterz,0/0/0
Little Waaagh,Disciples Of Tzeentch,0/0/0
Jp Ganis,Death Grand Alliance,0/0/0
Tan Kian Yang,Ironjawz,0/0/0
David Norval,Ogor Mawtribes,0/0/0
