NEW_EVENT_TAG,Forbidden Journey,04-08-2019,3
Ellis Priestley,Fyreslayers,3/0/0
Anthony Boulton,Hosts of Slaanesh,3/0/0
Gabe Huddlestone,Legion of Blood,3/0/0
Chris Banks,Skaven,3/0/0
Robert Hull,Flesh Eater Courts,2/0/1
Chris Smith ,Gloomspite Gitz,2/0/1
Samuel Wakley,Stormcast Eternals,2/0/1
Daniel Biddle ,Fyreslayers,2/0/1
Darren Phipps-Walker,Flesh Eater Courts,2/0/1
Jack Mayland,Beasts of Chaos,2/0/1
Andy Bryan,Skaven,2/0/1
GhostArmJones,Daemons Of Nurgle,1/0/2
Sam Watson,Flesh Eater Courts,1/0/2
Alan ,Aelf,2/0/1
Alex Cawthra,Stormcast Eternals,1/0/2
Daniel Grant,Hosts of Slaanesh,1/0/2
Matt Smith,Daemons Of Nurgle,2/0/1
Ben cronin,Fyreslayers,2/0/1
Paul Bowden ,Stormcast Eternals,1/0/2
Tim Holbrook,Gloomspite Gitz,1/0/2
Craig Carlton,Fyreslayers,1/0/2
Thomas Maries,Seraphon,1/0/2
Jack Maiden,Gloomspite Gitz,0/0/3
Jane Slater ,Seraphon,1/0/2
David Turner,Disciples Of Tzeentch,0/0/3
Michael Mimnagh,Sylvaneth,1/0/2
Keirran Wilson,Flesh Eater Courts,0/0/3
Rick Chambers,Legion of Sacrament,0/0/3
Ellis Priestley,Jack Mayland,Ellis Priestley,Andy Bryan,Ellis Priestley,Paul Bowden
Anthony Boulton,Robert Hull,Anthony Boulton,Craig Carlton,Anthony Boulton,David Turner
Gabe Huddlestone,Samuel Wakley,Gabe Huddlestone,Alan,Gabe Huddlestone,Rick Chambers
Chris Banks,Craig Carlton,Chris Banks,Matt Smith,Chris Banks,Daniel Biddle
Anthony Boulton,Robert Hull,Robert Hull,Ben cronin,Robert Hull,Sam Watson
Chris Smith,Daniel Grant,Chris Smith,Jane Slater,Matt Smith,Chris Smith
Gabe Huddlestone,Samuel Wakley,Samuel Wakley,Thomas Maries,Samuel Wakley,Alex Cawthra
Daniel Biddle,Paul Bowden,Daniel Biddle,Rick Chambers,Chris Banks,Daniel Biddle
Darren Phipps-Walker,Alex Cawthra,Jack Mayland,Darren Phipps-Walker,Darren Phipps-Walker,Keirran Wilson
Ellis Priestley,Jack Mayland,Jack Mayland,Darren Phipps-Walker,Jack Mayland,Daniel Grant
Andy Bryan,Tim Holbrook,Ellis Priestley,Andy Bryan,Andy Bryan,Jack Maiden
Alan,GhostArmJones,GhostArmJones,Michael Mimnagh,Thomas Maries,GhostArmJones
Sam Watson,Rick Chambers,Tim Holbrook,Sam Watson,Robert Hull,Sam Watson
Alan,GhostArmJones,Gabe Huddlestone,Alan,Alan,Jane Slater
Darren Phipps-Walker,Alex Cawthra,Alex Cawthra,Jack Maiden,Samuel Wakley,Alex Cawthra
Chris Smith,Daniel Grant,Daniel Grant,Keirran Wilson,Jack Mayland,Daniel Grant
Matt Smith,David Turner,Chris Banks,Matt Smith,Matt Smith,Chris Smith
Ben cronin,Thomas Maries,Robert Hull,Ben cronin,Ben cronin,Tim Holbrook
Daniel Biddle,Paul Bowden,Paul Bowden,David Turner,Ellis Priestley,Paul Bowden
Andy Bryan,Tim Holbrook,Tim Holbrook,Sam Watson,Ben cronin,Tim Holbrook
Chris Banks,Craig Carlton,Anthony Boulton,Craig Carlton,Craig Carlton,Michael Mimnagh
Ben cronin,Thomas Maries,Samuel Wakley,Thomas Maries,Thomas Maries,GhostArmJones
Michael Mimnagh,Jack Maiden,Alex Cawthra,Jack Maiden,Andy Bryan,Jack Maiden
Jane Slater,Keirran Wilson,Chris Smith,Jane Slater,Alan,Jane Slater
Matt Smith,David Turner,Paul Bowden,David Turner,Anthony Boulton,David Turner
Michael Mimnagh,Jack Maiden,GhostArmJones,Michael Mimnagh,Craig Carlton,Michael Mimnagh
Jane Slater,Keirran Wilson,Daniel Grant,Keirran Wilson,Darren Phipps-Walker,Keirran Wilson
Sam Watson,Rick Chambers,Daniel Biddle,Rick Chambers,Gabe Huddlestone,Rick Chambers
