NEW_EVENT_TAG,Frozen Empires 2019,30-11-2019,5
Chris Caves Jnr,Orruks,5/0/0
Robby Wright,Skaven,4/0/1
Richard Flood,Hosts of Slaanesh,4/0/1
Nathan Sandison,Ossiarch Bonereapers,4/0/1
Stephen Mitchell,Mixed,3/0/2
Shane Forde,Tempest Eye,3/0/2
Chris archibald,Idoneth Deepkin,3/0/2
Donal Taylor,Ogor Mawtribes,3/0/2
Chris Caves Snr,Orruks,4/0/1
Will O'Siorain,Idoneth Deepkin,3/0/2
Richard Eddon,Ironjawz,3/0/2
Jay Kinsella,Blades of Khorne,3/0/2
Neil Montgomery,Hosts of Slaanesh,3/0/2
Craig Morrow,Skaven,2/0/3
Ken Chambers,Flesh Eater Courts,3/0/2
Rob Symes,Skaven,2/0/3
Rob Kelly,Flesh Eater Courts,2/0/3
Samual Green,Skaven,2/0/3
Laura MacNeill,Flesh Eater Courts,2/0/3
Colin Cochrane,Tempest Eye,2/0/3
Sean Murray,Stormcast Eternals,2/0/3
Chris Elliot,Skaven,2/0/3
Simon McPolin,Stormcast Eternals,2/0/3
Barry White,Ogor Mawtribes,1/0/4
Martin Laughlin,Skaven,1/0/4
Evan White,Ogor Mawtribes,1/0/4
Stephen Surgenor,Kharadron Overlords,1/0/4
Kevin Harrington,Flesh Eater Courts,0/0/5
Chris Caves Jnr,Nathan Sandison,Chris Caves Jnr,Robby Wright,Chris Caves Jnr,Chris Caves Snr,Chris Caves Jnr,Ken Chambers,Chris Caves Jnr,Richard Flood
Robby Wright,Richard Eddon,Chris Caves Jnr,Robby Wright,Robby Wright,Donal Taylor,Robby Wright,Evan White,Robby Wright,Colin Cochrane
Richard Flood,Stephen Mitchell,Richard Flood,Ken Chambers,Richard Flood,Chris archibald,Richard Flood,Laura MacNeill,Chris Caves Jnr,Richard Flood
Chris Caves Jnr,Nathan Sandison,Nathan Sandison,Neil Montgomery,Nathan Sandison,Shane Forde,Nathan Sandison,Rob Symes,Nathan Sandison,Kevin Harrington
Richard Flood,Stephen Mitchell,Stephen Mitchell,Shane Forde,Stephen Mitchell,Rob Kelly,Stephen Mitchell,Barry White,Chris archibald,Stephen Mitchell
Shane Forde,Neil Montgomery,Stephen Mitchell,Shane Forde,Nathan Sandison,Shane Forde,Shane Forde,Jay Kinsella,Shane Forde,Will OSiorain
Chris archibald,Craig Morrow,Chris archibald,Martin Laughlin,Richard Flood,Chris archibald,Neil Montgomery,Chris archibald,Chris archibald,Stephen Mitchell
Chris Caves Snr,Donal Taylor,Donal Taylor,Will OSiorain,Robby Wright,Donal Taylor,Donal Taylor,Rob Kelly,Donal Taylor,Richard Eddon
Chris Caves Snr,Donal Taylor,Chris Caves Snr,Rob Symes,Chris Caves Jnr,Chris Caves Snr,Chris Caves Snr,Craig Morrow,Chris Caves Snr,Chris Elliot
Will OSiorain,Colin Cochrane,Donal Taylor,Will OSiorain,Will OSiorain,Martin Laughlin,Will OSiorain,Stephen Surgenor,Shane Forde,Will OSiorain
Robby Wright,Richard Eddon,Richard Eddon,Jay Kinsella,Richard Eddon,Evan White,Richard Eddon,Simon McPolin,Donal Taylor,Richard Eddon
Jay Kinsella,Sean Murray,Richard Eddon,Jay Kinsella,Jay Kinsella,Rob Symes,Shane Forde,Jay Kinsella,Jay Kinsella,Stephen Surgenor
