NEW_EVENT_TAG,Gods and Blood 3,29-08-2020,3
Vevertis,Flesh Eater Courts,3/0/0
Winky,Legion of Azgorh,3/0/0
Matt Ammendolia,Grand Host of Nagash,3/0/0
StanislavMouric,Cities of Sigmar,2/0/1
Vojtěch Kopecký ,Sylvaneth,2/0/1
Kryštof Mózer,Nighthaunt,2/0/1
Jitrnice,Idoneth Deepkin,2/0/1
Daniel Czyz,Stormcast Eternals,2/0/1
"Lukáš ""EmperorNight"" Wűrzler",Ossiarch Bonereapers,2/0/1
Vit Saffer,Stormcast Eternals,2/0/1
Michal Duchac,Sylvaneth,2/0/1
Stricke,Ogor Mawtribes,1/0/2
Jan Dentri Kubík ,Cities of Sigmar,1/0/2
Dreg,Cities of Sigmar,1/0/2
Tomáš Daněk jr.,Legion of Grief,1/0/2
Dominik Kovář,Stormcast Eternals,1/0/2
Tomáš Daněk sr.,Maggotkin of Nurgle,1/0/2
Erik Slimařík,Legion of Grief,1/0/2
Fishbone,Slaves To Darkness,1/0/2
Martin Netopil,Disciples Of Tzeentch,0/0/3
Karel Otevřel,Skaven,0/0/3
Harry White,Seraphon,0/0/3
Vevertis,StanislavMouric,Vevertis,Dreg,Vevertis,Harry White
Winky,Kryštof Mózer,Winky,Erik Slimařík,Winky,Stricke
Matt Ammendolia,Lukáš "EmperorNight" Wűrzler,Matt Ammendolia,Daniel Czyz,Matt Ammendolia,Vojtěch Kopecký
Vevertis,StanislavMouric,StanislavMouric,Jitrnice,StanislavMouric,Martin Netopil
Vojtěch Kopecký,Stricke,Vojtěch Kopecký,Dominik Kovář,Matt Ammendolia,Vojtěch Kopecký
Winky,Kryštof Mózer,Kryštof Mózer,Tomáš Daněk sr.,Kryštof Mózer,Jan Dentri Kubík
Jitrnice,Dreg,Jitrnice,Jan Dentri Kubík,StanislavMouric,Jitrnice
Daniel Czyz,Tomáš Daněk sr.,Matt Ammendolia,Daniel Czyz,Daniel Czyz,Karel Otevřel
Matt Ammendolia,Lukáš "EmperorNight" Wűrzler,Lukáš "EmperorNight" Wűrzler,Vit Saffer,Lukáš "EmperorNight" Wűrzler,Fishbone
Vit Saffer,Erik Slimařík,Lukáš "EmperorNight" Wűrzler,Vit Saffer,Vit Saffer,Michal Duchac
Michal Duchac,Fishbone,Michal Duchac,Karel Otevřel,Vit Saffer,Michal Duchac
Vojtěch Kopecký,Stricke,Stricke,Tomáš Daněk jr.,Winky,Stricke
Jan Dentri Kubík,Martin Netopil,Jitrnice,Jan Dentri Kubík,Kryštof Mózer,Jan Dentri Kubík
Jitrnice,Dreg,Vevertis,Dreg,Dreg,Tomáš Daněk jr
Tomáš Daněk jr.,Harry White,Stricke,Tomáš Daněk jr.,Dreg,Tomáš Daněk jr
Dominik Kovář,Karel Otevřel,Tomáš Daněk sr.,Dominik Kovář,Vojtěch Kopecký,Dominik Kovář
Daniel Czyz,Tomáš Daněk sr.,Tomáš Daněk sr.,Dominik Kovář,Kryštof Mózer,Tomáš Daněk sr
Vit Saffer,Erik Slimařík,Winky,Erik Slimařík,Erik Slimařík,Martin Netopil
Michal Duchac,Fishbone,Fishbone,Harry White,Lukáš "EmperorNight" Wűrzler,Fishbone
Jan Dentri Kubík,Martin Netopil,StanislavMouric,Martin Netopil,Erik Slimařík,Martin Netopil
Dominik Kovář,Karel Otevřel,Michal Duchac,Karel Otevřel,Daniel Czyz,Karel Otevřel
Tomáš Daněk jr.,Harry White,Fishbone,Harry White,Vevertis,Harry White
