NEW_EVENT_TAG,Hammer of the North,02-02-2019,3
Liam Watt,-,3/0/0
Leigh Martin,-,3/0/0
Craig Graham,-,3/0/0
Mike Callaghan,-,2/0/1
Johnny Forde,-,2/0/1
David Nemeth (Loke),-,2/0/1
Adam Martin,-,2/0/1
Nathan Watson,-,2/0/1
Mark Roberts,-,2/0/1
Stu West,-,2/0/1
MATTR,-,2/0/1
John Connelly,-,2/0/1
Grantmudie,-,2/0/1
Kevin Low,-,1/0/2
Kat Fekete,-,1/0/2
Phil McGuinness,-,1/0/2
Scott Smith,-,1/0/2
Paul Di Duca ,-,1/0/2
Kraggy,-,1/0/2
Jack Carruthers,-,1/0/2
David Jack,-,1/0/2
Iain Hunter,-,2/0/1
Callum Sinclair,-,0/0/3
Shane Kingston,-,0/0/3
Stephen Ramage,-,0/0/3
Graeme Davidson,-,0/0/3
Liam Watt,Johnny Forde,Liam Watt,Phil McGuinness,Liam Watt,David Nemeth
Leigh Martin,Stu West,Leigh Martin,MATTR,Leigh Martin,Callum Sinclair
Craig Graham,Mike Callaghan,Craig Graham,yarrickson,Craig Graham,Shane Kingston
Craig Graham,Mike Callaghan,Mike Callaghan,Nathan Watson,Mike Callaghan,scott smith
Liam Watt,Johnny Forde,Johnny Forde,Grantmudie,Johnny Forde,Kat Fekete
David Nemeth (Loke),scott smith,David Nemeth (Loke),Paul Di Duca,Liam Watt,David Nemeth
Nathan Watson,Adam Martin,Adam Martin,Mark Roberts,Adam Martin,Paul Di Duca
Nathan Watson,Adam Martin,Mike Callaghan,Nathan Watson,Nathan Watson,David Jack
Mark Roberts,Phil McGuinness,Adam Martin,Mark Roberts,Mark Roberts,Iain Hunter
Leigh Martin,Stu West,Stu West,Callum Sinclair,Stu West,Kraggy
MATTR,Shane Kingston,Leigh Martin,MATTR,MATTR,Graeme Davidson
John Connelly,Jack Carruthers,John Connelly,David Jack,Grantmudie,John Connelly
Grantmudie,yarrickson,Johnny Forde,Grantmudie,Grantmudie,John Connelly
Grantmudie,yarrickson,Craig Graham,yarrickson,yarrickson,Stephen Ramage
Iain Hunter,Kat Fekete,Kat Fekete,Shane Kingston,Johnny Forde,Kat Fekete
Mark Roberts,Phil McGuinness,Liam Watt,Phil McGuinness,Phil McGuinness,Jack Carruthers
David Nemeth (Loke),scott smith,scott smith,Stephen Ramage,Mike Callaghan,scott smith
Paul Di Duca,Graeme Davidson,David Nemeth (Loke),Paul Di Duca,Adam Martin,Paul Di Duca
Kraggy,Stephen Ramage,Iain Hunter,Kraggy,Stu West,Kraggy
John Connelly,Jack Carruthers,Jack Carruthers,Graeme Davidson,Phil McGuinness,Jack Carruthers
David Jack,Callum Sinclair,John Connelly,David Jack,Nathan Watson,David Jack
Iain Hunter,Kat Fekete,Iain Hunter,Kraggy,Mark Roberts,Iain Hunter
David Jack,Callum Sinclair,Stu West,Callum Sinclair,Leigh Martin,Callum Sinclair
MATTR,Shane Kingston,Kat Fekete,Shane Kingston,Craig Graham,Shane Kingston
Kraggy,Stephen Ramage,scott smith,Stephen Ramage,yarrickson,Stephen Ramage
Paul Di Duca,Graeme Davidson,Jack Carruthers,Graeme Davidson,MATTR,Graeme Davidson
