NEW_EVENT_TAG,Justice Series VIII,03-06-2018,3
Alex cockburn,-,3/0/0
Gareth Holmes,-,3/0/0
Sam Watson,-,2/0/1
Matt Robertson,-,2/0/1
Leo Kyp,-,2/0/1
Stuart Corbett,-,2/0/1
James Tinsdale,-,2/0/1
Lewis Sloan,-,2/0/1
Andy Davies,-,1/0/2
Ian Brown ,-,1/0/2
Jack Westaway,-,1/0/2
Luke Power,-,1/0/2
Jack Maiden,-,1/0/2
Christian Kewin,-,1/0/2
Raja Brothwood,-,0/0/3
Steven Davidson,-,0/0/3
Alex cockburn,Sam Watson,Alex cockburn,Luke Power,Alex cockburn,James Tinsdale
Gareth Holmes,Leo Kyp,Gareth Holmes,Lewis Sloan,Gareth Holmes,Christian Kewin
Alex cockburn,Sam Watson,Sam Watson,Andy Davies,Sam Watson,Jack Maiden
Matt Robertson,Luke Power,Leo Kyp,Matt Robertson,Matt Robertson,Steven Davidson
Gareth Holmes,Leo Kyp,Leo Kyp,Matt Robertson,Leo Kyp,Jack Westaway
Stuart Corbett,Ian Brown,Stuart Corbett,Jack Maiden,Andy Davies,Stuart Corbett
James Tinsdale,Andy Davies,James Tinsdale,Christian Kewin,Alex cockburn,James Tinsdale
Lewis Sloan,Jack Westaway,Gareth Holmes,Lewis Sloan,Lewis Sloan,Raja Brothwood
James Tinsdale,Andy Davies,Sam Watson,Andy Davies,Andy Davies,Stuart Corbett
Stuart Corbett,Ian Brown,Ian Brown,Raja Brothwood,Luke Power,Ian Brown
Lewis Sloan,Jack Westaway,Jack Westaway,Steven Davidson,Leo Kyp,Jack Westaway
Matt Robertson,Luke Power,Alex cockburn,Luke Power,Luke Power,Ian Brown
Jack Maiden,Steven Davidson,Stuart Corbett,Jack Maiden,Sam Watson,Jack Maiden
Christian Kewin,Raja Brothwood,James Tinsdale,Christian Kewin,Gareth Holmes,Christian Kewin
Christian Kewin,Raja Brothwood,Ian Brown,Raja Brothwood,Lewis Sloan,Raja Brothwood
Jack Maiden,Steven Davidson,Jack Westaway,Steven Davidson,Matt Robertson,Steven Davidson
