NEW_EVENT_TAG,Krigsluntan Grandiosa Turnering 2018,24-11-2018,5
Adam Janson,Nighthaunt,5/0/0
Samuel Jansson,Daughters Of Khaine,5/0/0
Andreas Johansson,Legion of Azgorh,4/0/1
Mikael Magnusson,Order Draconis,4/0/1
Jonas Rådemar,Daughters Of Khaine,4/0/1
Johan Börjesson,Phoenix Temple,4/0/1
Dennis Palmkvist,Daughters Of Khaine,4/0/1
Jonas Fredriksson,Legion of Blood,4/0/1
Arvid snö ,Free Peoples,4/0/1
Anton Stenlund,Idoneth Deepkin,4/0/1
Jason D Fluffer,Clan Skryre,3/0/2
UlfErling,Sylvaneth,3/0/2
Fredrik Andersson,Khorne Bloodbound,3/0/2
Jan Boije,Stormcast Eternals,3/0/2
Aleksandar Zekovski,Idoneth Deepkin,3/0/2
Wiktor Wadsten Mattisson,Grand Host of Nagash,3/0/2
Karl Åkman,Khorne Bloodbound,3/0/2
Andreas Raland,Mixed,3/0/2
Christian Mossberg,Grand Host of Nagash,3/0/2
Daniel Terdell,Idoneth Deepkin,3/0/2
Folke Byfors,Seraphon,3/0/2
Lars stålkäft Lindholm,Ironjawz,3/0/2
Gustav Åkman,-,3/0/2
Kennie Henriksson,Seraphon,3/0/2
Pontus Krontoft,-,3/0/2
Aron Törnqvist,-,3/0/2
Johannes Persson,-,3/0/2
Niklas jansson,-,3/0/2
Sebastian Hedberg,-,2/1/2
Erik Sundberg,-,2/0/3
Craig Turner,-,2/0/3
Alfred Granberg,-,2/0/3
Mattias Nordin,-,2/0/3
Mathias Ortlieb,-,2/0/3
Martin Nygren,-,2/0/3
Johan Haugen ,-,2/0/3
Mat Miller,-,2/0/3
Jakob Takanen ,-,2/0/3
Marcus Hagberg,-,2/0/3
Andreas Angermund,-,2/0/3
Robert Steneholm ,-,2/0/3
Patrik Härenstam,-,2/0/3
Björn Malmborg,-,2/0/3
Daniel Krewer,-,2/0/3
Linus Sjöström (thankee),-,2/0/3
Robin Slätt,-,1/1/3
Oskar Dahlström,-,1/0/4
Fredrik Olausson,-,1/0/4
Albin Kellqvist,-,1/0/4
Sandor Henriksson Andersson,-,1/0/4
Michael A,-,1/0/4
Martin Vestin,-,1/0/4
Patrik Andersson,-,1/0/4
Fredrik hartzell,-,1/0/4
Mattias hartzell ,-,0/0/5
Rickard Vikman,-,0/0/5
Adam Janson,Mikael Magnusson,Adam Janson,Andreas Johansson,Adam Janson,Aleksandar Zekovski,Adam Janson,Pontus Krontoft,Adam Janson,Marcus Hagberg
Samuel Jansson,Jason D Fluffer,Samuel Jansson,Dennis Palmkvist,Samuel Jansson,Kennie Henriksson,Samuel Jansson,Arvid snö,Samuel Jansson,Andreas Angermund
Andreas Johansson,Jan Nordberg,Adam Janson,Andreas Johansson,Andreas Johansson,Folke Byfors,Andreas Johansson,Johan Börjesson,Andreas Johansson,Mattias Nordin
Adam Janson,Mikael Magnusson,Mikael Magnusson,Christian Mossberg,Mikael Magnusson,Andreas Raland,Mikael Magnusson,Jonas Rådemar,Mikael Magnusson,Patrik Härenstam
Jonas Rådemar,Fredrik Andersson,Jonas Rådemar,Folke Byfors,Jonas Rådemar,Sebastian Hedberg,Mikael Magnusson,Jonas Rådemar,Jonas Rådemar,Robert Steneholm
Johan Börjesson,Andreas Raland,Johan Börjesson,Mattias Nordin,Johan Börjesson,Johannes Persson,Andreas Johansson,Johan Börjesson,Johan Börjesson,Sebastian Hedberg
Dennis Palmkvist,Pontus Krontoft,Samuel Jansson,Dennis Palmkvist,Dennis Palmkvist,Jonas Fredriksson,Dennis Palmkvist,Daniel Terdell,Dennis Palmkvist,Aron Törnqvist
Jonas Fredriksson,Wiktor Wadsten Mattisson,Jonas Fredriksson,Anton Stenlund,Dennis Palmkvist,Jonas Fredriksson,Jonas Fredriksson,Erik Sundberg,Jonas Fredriksson,Karl Åkman
Arvid snö,Aleksandar Zekovski,Arvid snö,Gustav Åkman,Arvid snö,Martin Nygren,Samuel Jansson,Arvid snö,Arvid snö,Johannes Persson
Anton Stenlund,Christian Mossberg,Jonas Fredriksson,Anton Stenlund,Anton Stenlund,Niklas jansson,Anton Stenlund,Jason D Fluffer,Anton Stenlund,Craig Turner
Samuel Jansson,Jason D Fluffer,Jason D Fluffer,Craig Turner,Jason D Fluffer,Fredrik Olausson,Anton Stenlund,Jason D Fluffer,Jason D Fluffer,Michael Andersson
UlfErling,Mat Miller,UlfErling,Björn Malmborg,UlfErling,Michael Andersson,Fredrik Andersson,UlfErling,Wiktor Wadsten Mattisson,UlfErling
Jonas Rådemar,Fredrik Andersson,Fredrik Andersson,Linus Sjöström (thankee),Fredrik Andersson,Patrik Härenstam,Fredrik Andersson,UlfErling,Andreas Raland,Fredrik Andersson
Andreas Johansson,Jan Nordberg,Jan Nordberg,Johan Haugen,Jan Nordberg,Jakob Takanen,Jan Nordberg,Daniel Krewer,Kennie Henriksson,Jan Nordberg
Arvid snö,Aleksandar Zekovski,Aleksandar Zekovski,Lars Lindholm,Adam Janson,Aleksandar Zekovski,Aleksandar Zekovski,Wiktor Wadsten Mattisson,Aleksandar Zekovski,Daniel Krewer
Jonas Fredriksson,Wiktor Wadsten Mattisson,Wiktor Wadsten Mattisson,Kennie Henriksson,Wiktor Wadsten Mattisson,Daniel Terdell,Aleksandar Zekovski,Wiktor Wadsten Mattisson,Wiktor Wadsten Mattisson,UlfErling
Karl Åkman,Mathias Ortlieb,Karl Åkman,Patrik Andersson,Karl Åkman,Sandor Henriksson Andersson,Craig Turner,Karl Åkman,Jonas Fredriksson,Karl Åkman
Johan Börjesson,Andreas Raland,Andreas Raland,Niklas jansson,Mikael Magnusson,Andreas Raland,Andreas Raland,Martin Nygren,Andreas Raland,Fredrik Andersson
Anton Stenlund,Christian Mossberg,Mikael Magnusson,Christian Mossberg,Christian Mossberg,Gustav Åkman,Christian Mossberg,Johan Haugen,Christian Mossberg,Oskar Dahlström
Daniel Terdell,Johan Haugen,Daniel Terdell,Andreas Angermund,Wiktor Wadsten Mattisson,Daniel Terdell,Dennis Palmkvist,Daniel Terdell,Daniel Terdell,Björn Malmborg
Folke Byfors,Marcus Hagberg,Jonas Rådemar,Folke Byfors,Andreas Johansson,Folke Byfors,Folke Byfors,Robin Slätt,Folke Byfors,Sandor Henriksson Andersson
Lars Lindholm,Erik Sundberg,Aleksandar Zekovski,Lars Lindholm,Lars Lindholm,Robin Slätt,Kennie Henriksson,Lars Lindholm,Lars Lindholm,Mat Miller
Gustav Åkman,Robert Steneholm,Arvid snö,Gustav Åkman,Christian Mossberg,Gustav Åkman,Gustav Åkman,Martin Vestin,Gustav Åkman,Albin Kellqvist
Kennie Henriksson,Mattias Nordin,Wiktor Wadsten Mattisson,Kennie Henriksson,Samuel Jansson,Kennie Henriksson,Kennie Henriksson,Lars Lindholm,Kennie Henriksson,Jan Nordberg
Dennis Palmkvist,Pontus Krontoft,Pontus Krontoft,Marcus Hagberg,Pontus Krontoft,Mathias Ortlieb,Adam Janson,Pontus Krontoft,Pontus Krontoft,Mattias hartzell
Aron Törnqvist,Craig Turner,Aron Törnqvist,Martin Vestin,Aron Törnqvist,Mattias hartzell,Johannes Persson,Aron Törnqvist,Dennis Palmkvist,Aron Törnqvist
Johannes Persson,Linus Sjöström (thankee),Johannes Persson,Alfred Granberg,Johan Börjesson,Johannes Persson,Johannes Persson,Aron Törnqvist,Arvid snö,Johannes Persson
Niklas jansson,Daniel Krewer,Andreas Raland,Niklas jansson,Anton Stenlund,Niklas jansson,Niklas jansson,Fredrik Olausson,Niklas jansson,Patrik Andersson
Sebastian Hedberg,Fredrik Olausson,Robin Slätt,Sebastian Hedberg,Jonas Rådemar,Sebastian Hedberg,Sebastian Hedberg,Fredrik hartzell,Johan Börjesson,Sebastian Hedberg
Lars Lindholm,Erik Sundberg,Erik Sundberg,Fredrik Olausson,Linus Sjöström (thankee),Erik Sundberg,Jonas Fredriksson,Erik Sundberg,Erik Sundberg,Fredrik hartzell
Aron Törnqvist,Craig Turner,Jason D Fluffer,Craig Turner,Craig Turner,Mat Miller,Craig Turner,Karl Åkman,Anton Stenlund,Craig Turner
Alfred Granberg,Robin Slätt,Johannes Persson,Alfred Granberg,Marcus Hagberg,Alfred Granberg,Alfred Granberg,Björn Malmborg,Martin Nygren,Alfred Granberg
Kennie Henriksson,Mattias Nordin,Johan Börjesson,Mattias Nordin,Mattias Nordin,Robert Steneholm,Mattias Nordin,Andreas Angermund,Andreas Johansson,Mattias Nordin
Karl Åkman,Mathias Ortlieb,Mathias Ortlieb,Jakob Takanen,Pontus Krontoft,Mathias Ortlieb,Mathias Ortlieb,Sandor Henriksson Andersson,Martin Vestin,Mathias Ortlieb
Martin Nygren,Sandor Henriksson Andersson,Mat Miller,Martin Nygren,Arvid snö,Martin Nygren,Andreas Raland,Martin Nygren,Martin Nygren,Alfred Granberg
Daniel Terdell,Johan Haugen,Jan Nordberg,Johan Haugen,Johan Haugen,Martin Vestin,Christian Mossberg,Johan Haugen,Johan Haugen,Jakob Takanen
UlfErling,Mat Miller,Mat Miller,Martin Nygren,Craig Turner,Mat Miller,Mat Miller,Oskar Dahlström,Lars Lindholm,Mat Miller
Jakob Takanen,Patrik Andersson,Mathias Ortlieb,Jakob Takanen,Jan Nordberg,Jakob Takanen,Jakob Takanen,Mattias hartzell,Johan Haugen,Jakob Takanen
Folke Byfors,Marcus Hagberg,Pontus Krontoft,Marcus Hagberg,Marcus Hagberg,Alfred Granberg,Marcus Hagberg,Rickard Vikman,Adam Janson,Marcus Hagberg
Andreas Angermund,Martin Vestin,Daniel Terdell,Andreas Angermund,Andreas Angermund,Rickard Vikman,Mattias Nordin,Andreas Angermund,Samuel Jansson,Andreas Angermund
Gustav Åkman,Robert Steneholm,Robert Steneholm,Patrik Härenstam,Mattias Nordin,Robert Steneholm,Robert Steneholm,Albin Kellqvist,Jonas Rådemar,Robert Steneholm
Patrik Härenstam,Fredrik hartzell,Robert Steneholm,Patrik Härenstam,Fredrik Andersson,Patrik Härenstam,Patrik Härenstam,Patrik Andersson,Mikael Magnusson,Patrik Härenstam
Björn Malmborg,Michael Andersson,UlfErling,Björn Malmborg,Björn Malmborg,Albin Kellqvist,Alfred Granberg,Björn Malmborg,Daniel Terdell,Björn Malmborg
Niklas jansson,Daniel Krewer,Daniel Krewer,Mattias hartzell,Daniel Krewer,Oskar Dahlström,Jan Nordberg,Daniel Krewer,Aleksandar Zekovski,Daniel Krewer
Johannes Persson,Linus Sjöström (thankee),Fredrik Andersson,Linus Sjöström (thankee),Linus Sjöström (thankee),Erik Sundberg,Linus Sjöström (thankee),Michael Andersson,Fredrik Olausson,Linus Sjöström
Alfred Granberg,Robin Slätt,Robin Slätt,Sebastian Hedberg,Lars Lindholm,Robin Slätt,Folke Byfors,Robin Slätt,Robin Slätt,Rickard Vikman
Oskar Dahlström,Rickard Vikman,Michael Andersson,Oskar Dahlström,Daniel Krewer,Oskar Dahlström,Mat Miller,Oskar Dahlström,Christian Mossberg,Oskar Dahlström
Sebastian Hedberg,Fredrik Olausson,Erik Sundberg,Fredrik Olausson,Jason D Fluffer,Fredrik Olausson,Niklas jansson,Fredrik Olausson,Fredrik Olausson,Linus Sjöström
Albin Kellqvist,Mattias hartzell,Fredrik hartzell,Albin Kellqvist,Björn Malmborg,Albin Kellqvist,Robert Steneholm,Albin Kellqvist,Gustav Åkman,Albin Kellqvist
Martin Nygren,Sandor Henriksson Andersson,Sandor Henriksson Andersson,Rickard Vikman,Karl Åkman,Sandor Henriksson Andersson,Mathias Ortlieb,Sandor Henriksson Andersson,Folke Byfors,Sandor Henriksson Andersson
Björn Malmborg,Michael Andersson,Michael Andersson,Oskar Dahlström,UlfErling,Michael Andersson,Linus Sjöström (thankee),Michael Andersson,Jason D Fluffer,Michael Andersson
Andreas Angermund,Martin Vestin,Aron Törnqvist,Martin Vestin,Johan Haugen,Martin Vestin,Gustav Åkman,Martin Vestin,Martin Vestin,Mathias Ortlieb
