NEW_EVENT_TAG,Krigsluntans Grandiosa Turnering 2019,23-11-2019,5
Tomas Vifell ,Hosts of Slaanesh,5/0/0
Adam Janson,Ossiarch Bonereapers,5/0/0
Tim Sköld,Khorne Bloodbound,5/0/0
Dennis Palmkvist,Daughters Of Khaine,4/0/1
Fredrik Andersson,Ogor Mawtribes,4/0/1
Dennis Brännvall,Ironjawz,4/0/1
Jesper melander,Legion of Grief,4/0/1
Jonas Rådemar,Idoneth Deepkin,4/0/1
Jonas Fredriksson,Skaven,4/0/1
"Andreas ""Anjo"" Johansson",Disciples Of Tzeentch,4/0/1
Alexander Hansen,Disciples Of Tzeentch,4/0/1
Andreas Raland,Disciples Of Tzeentch,4/0/1
Samuel Jansson,Daughters Of Khaine,4/0/1
Aron Törnqvist,Maggotkin of Nurgle,4/0/1
Martin Nygren,Khorne Bloodbound,4/0/1
Erik Sala,Flesh Eater Courts,3/0/1
Rasmus Nilsen,Ossiarch Bonereapers,3/0/1
Simon Selberg,Stormcast Eternals,3/0/2
Mikael Magnusson,Stormcast Eternals,3/0/2
Henrik Fridström,Flesh Eater Courts,3/0/2
Jonas Paro,Ossiarch Bonereapers,3/0/2
Lillen Svensson,Idoneth Deepkin,3/0/2
Daniel Martinell,Stormcast Eternals,3/0/2
Adam Sääf,Ossiarch Bonereapers,3/0/2
Linus Sjöström (thankee),Cities of Sigmar,3/0/2
Morten Winkel,Khorne Bloodbound,3/0/2
Anttu,Ironjawz,3/0/2
Anders Gustavsson,Idoneth Deepkin,3/0/2
Mikael Isaksson,Hosts of Slaanesh,3/0/2
Marcus Hagberg,Flesh Eater Courts,3/0/2
Johan Börjesson,Cities of Sigmar,3/0/2
Robin Slätt,Fyreslayers,3/0/2
Sebastian Hedberg,Beasts of Chaos,3/0/2
Lars stålkäft Lindholm,Ironjawz,3/0/2
David Bredenberg,Ossiarch Bonereapers,3/0/2
Rafael Pérez,Legion of Sacrament,3/0/2
Kimmo Kokkarinen,Skaven,3/0/2
Hugo Svanborg,Ossiarch Bonereapers,3/0/2
Petter Myrehed,Nighthaunt,3/0/2
Sebastian Isheden,Seraphon,3/0/2
Martin Vestin,Skaven,3/0/2
Craig Turner,Stormcast Eternals,3/0/2
UlfErling,Skaven,3/0/2
Olof Myrehed ,Ogor Mawtribes,2/0/3
Kennie Henriksson,Seraphon,3/0/2
Jonathan Snygg,Stormcast Eternals,3/0/2
Aleksandar Zekovski,Cities of Sigmar,2/0/3
Patrik Andersson,Seraphon,3/0/2
Mathias Ortlieb,Gloomspite Gitz,2/0/3
Gustaf Sundin,Blades of Khorne,2/0/3
robindjusberg,Beasts of Chaos,2/0/3
Robin Lundkvist,Stormcast Eternals,2/0/3
Pontus Krontoft,Legion of Grief,2/0/3
