NEW_EVENT_TAG,Nocna Wielka Jatka u Smoka - 2000pkt AoS,14-08-2020,3
Kuba Kostrubiec,Kharadron Overlords,3/0/0
Zamaskowany Battlowiec ,Idoneth Deepkin,3/0/0
Mateusz Kołakowski ,Ossiarch Bonereapers,2/0/1
Filip 'Frodos' Redos,Ogor Mawtribes,2/0/1
Paweł Kubiak „ zeznicek”,Cities of Sigmar,2/0/1
Arkadiusz Moria,Cities of Sigmar,2/0/1
Michał Piotr Szara,Skaven,2/0/1
Szymon Rychert,Idoneth Deepkin,1/1/1
Jakub Dubrowski,Fyreslayers,2/0/1
Michał Cortez Nadolski,Lumineth Realmlords,1/1/1
Nikodem Bradtke,Skaven,1/1/1
Artur Łomnicki,Nighthaunt,1/1/1
Jacek Skoczek,Fyreslayers,1/1/1
Kuba Krupiński,Seraphon,1/0/2
Skary,Fyreslayers,1/0/2
Jesion,Gloomspite Gitz,1/0/2
Przelas,Disciples Of Tzeentch,0/1/2
Dariusz Beo Beomenas,Seraphon,0/1/2
Michał Pachulski,Cities of Sigmar,0/1/2
Patryk Sobisz,Slaves To Darkness,0/0/3
Kuba Kostrubiec,Filip Frodos Redos,Kuba Kostrubiec,Szymon Rychert,Kuba Kostrubiec,Michał Pachulski
Zamaskowany Battlowiec,Paweł Kubiak „ zeznicek”,Zamaskowany Battlowiec,Artur Łomnicki,Zamaskowany Battlowiec,Kuba Krupiński
Mateusz Kołakowski,Jakub Dubrowski,Mateusz Kołakowski,Przelas,Michał Piotr Szara,Mateusz Kołakowski
Kuba Kostrubiec,Filip Frodos Redos,Filip Frodos Redos,Skary,Filip Frodos Redos,Jesion
Zamaskowany Battlowiec,Paweł Kubiak „ zeznicek”,Paweł Kubiak „ zeznicek”,Michał Cortez Nadolski,Paweł Kubiak „ zeznicek”,Patryk Sobisz
Arkadiusz Moria,Skary,Arkadiusz Moria,Michał Pachulski,Michał Cortez Nadolski,Arkadiusz Moria
Michał Piotr Szara,Jesion,Jakub Dubrowski,Michał Piotr Szara,Michał Piotr Szara,Mateusz Kołakowski
Szymon Rychert,Nikodem Bradtke,Kuba Kostrubiec,Szymon Rychert,Szymon Rychert,Jacek Skoczek
Mateusz Kołakowski,Jakub Dubrowski,Jakub Dubrowski,Michał Piotr Szara,Jakub Dubrowski,Przelas
Michał Cortez Nadolski,Artur Łomnicki,Paweł Kubiak „ zeznicek”,Michał Cortez Nadolski,Michał Cortez Nadolski,Arkadiusz Moria
Szymon Rychert,Nikodem Bradtke,Nikodem Bradtke,Kuba Krupiński,Artur Łomnicki,Nikodem Bradtke
Michał Cortez Nadolski,Artur Łomnicki,Zamaskowany Battlowiec,Artur Łomnicki,Artur Łomnicki,Nikodem Bradtke
Jacek Skoczek,Przelas,Jacek Skoczek,Patryk Sobisz,Szymon Rychert,Jacek Skoczek
Kuba Krupiński,Patryk Sobisz,Nikodem Bradtke,Kuba Krupiński,Zamaskowany Battlowiec,Kuba Krupiński
Arkadiusz Moria,Skary,Filip Frodos Redos,Skary,Skary,Dariusz Beo Beomenas
Michał Piotr Szara,Jesion,Jesion,Dariusz Beo Beomenas,Filip Frodos Redos,Jesion
Jacek Skoczek,Przelas,Mateusz Kołakowski,Przelas,Jakub Dubrowski,Przelas
Dariusz Beo Beomenas,Michał Pachulski,Jesion,Dariusz Beo Beomenas,Skary,Dariusz Beo Beomenas
Dariusz Beo Beomenas,Michał Pachulski,Arkadiusz Moria,Michał Pachulski,Kuba Kostrubiec,Michał Pachulski
Kuba Krupiński,Patryk Sobisz,Jacek Skoczek,Patryk Sobisz,Paweł Kubiak „ zeznicek”,Patryk Sobisz
