NEW_EVENT_TAG,Onslaught 2020,08-08-2020,3
Nathan Watson,Mixed,3/0/0
Phil McGuinness,Kharadron Overlords,3/0/0
Andy Currie,Fyreslayers,2/0/1
Mike Callaghan,Stormcast Eternals,2/0/1
David Nemeth (Loke),Sylvaneth,2/0/1
David Jack,Flesh Eater Courts,2/0/1
Joshua Richardson,Blades of Khorne,2/0/1
Andrew Stephen,Idoneth Deepkin,2/0/1
Will Pollock,The Living City,2/0/1
Paul Di Duca ,Idoneth Deepkin,2/0/1
Jp Ganis,Legion of Grief,2/0/1
John B,Hosts of Slaanesh,2/0/1
Scott Smith,Ossiarch Bonereapers,1/0/2
Alan Mandelson,Beasts of Chaos,1/0/2
Erik Bews,Blades of Khorne,1/0/2
Gary Pollock,Legion of Night,1/0/2
Grant Fraser,Bonesplitterz,1/0/2
Johnny Forde,Ironjawz,1/0/2
Stu West,Legion of Night,1/0/2
Kevin Low,Bonesplitterz,0/0/3
Kat Fekete,Blades of Khorne,0/0/3
John Harper,Tzeentch Arcanites,0/0/3
Nathan Watson,John B,Nathan Watson,Paul Di Duca,Nathan Watson,Grant Fraser
Phil McGuinness,Duke David Jackmarrow,Phil McGuinness,Scott Smith,Phil McGuinness,Erik Bews
Andy Currie,Alan Mandelson,Andy Currie,Andrew Stephen,Jp Ganis,Andy Currie
Mike Callaghan,Jp Ganis,Mike Callaghan,John Harper,Andrew Stephen,Mike Callaghan
David Nemeth (Loke),Grant Fraser,David Nemeth (Loke),Johnny Forde,John B,David Nemeth
Phil McGuinness,Duke David Jackmarrow,Duke David Jackmarrow,Joshua Richardson,Duke David Jackmarrow,Kevin Low
Joshua Richardson,Scott Smith,Duke David Jackmarrow,Joshua Richardson,Joshua Richardson,John Harper
Andrew Stephen,John Harper,Andy Currie,Andrew Stephen,Andrew Stephen,Mike Callaghan
Will Pollock,Gary Pollock,Will Pollock,Erik Bews,Paul Di Duca,Will Pollock
Paul Di Duca,Stu West,Nathan Watson,Paul Di Duca,Paul Di Duca,Will Pollock
Mike Callaghan,Jp Ganis,Jp Ganis,Stu West,Jp Ganis,Andy Currie
Nathan Watson,John B,John B,Alan Mandelson,John B,David Nemeth
Joshua Richardson,Scott Smith,Phil McGuinness,Scott Smith,Scott Smith,Johnny Forde
Andy Currie,Alan Mandelson,John B,Alan Mandelson,Alan Mandelson,Kat Fekete
Erik Bews,Kat Fekete,Will Pollock,Erik Bews,Phil McGuinness,Erik Bews
Will Pollock,Gary Pollock,Gary Pollock,Kat Fekete,Stu West,Gary Pollock
David Nemeth (Loke),Grant Fraser,Grant Fraser,Kevin Low,Nathan Watson,Grant Fraser
Johnny Forde,Kevin Low,David Nemeth (Loke),Johnny Forde,Scott Smith,Johnny Forde
Paul Di Duca,Stu West,Jp Ganis,Stu West,Stu West,Gary Pollock
Johnny Forde,Kevin Low,Grant Fraser,Kevin Low,Duke David Jackmarrow,Kevin Low
Erik Bews,Kat Fekete,Gary Pollock,Kat Fekete,Alan Mandelson,Kat Fekete
Andrew Stephen,John Harper,Mike Callaghan,John Harper,Joshua Richardson,John Harper
