NEW_EVENT_TAG,Stockholm Slaughter II,15-06-2019,5
Bubba,-,4/0/1
Fredrik Andersson,-,4/0/1
Lillen Svensson,-,5/0/0
Jesper melander,-,4/0/1
Alexander Örtensjö,-,3/0/2
UlfErling,-,3/0/2
Craig Turner,-,3/0/2
Jonatan Edlund,-,2/0/3
Arvid snö ,-,3/0/2
Folke Byfors,-,3/0/2
Sebastian Isheden,-,3/0/2
Mattias hartzell ,-,2/0/3
Björn Malmborg,-,3/0/2
Pontus Krontoft,-,2/0/3
Lars stålkäft Lindholm,-,2/0/3
Magnus Nedfors,-,2/0/3
Albin Kellqvist,-,2/0/3
Jakob Takanen ,-,1/0/4
Simon Andersson,-,1/0/4
Martin Axén,-,1/0/4
Daniel Martinell,-,2/0/3
Vilhelm Stokstad,-,0/0/5
Bubba,UlfErling,Jesper melander,Bubba,Bubba,Folke Byfors,Bubba,Martin Axén,Bubba,Albin Kellqvist
Fredrik Andersson,Jonatan Edlund,Fredrik Andersson,Björn Malmborg,Fredrik Andersson,Pontus Krontoft,Fredrik Andersson,Albin Kellqvist,Sebastian Isheden,Fredrik Andersson
Lillen Svensson,Jesper melander,Lillen Svensson,Lars stålkäft Lindholm,Lillen Svensson,UlfErling,Lillen Svensson,Björn Malmborg,Lillen Svensson,Mattias hartzell
Lillen Svensson,Jesper melander,Jesper melander,Bubba,Jesper melander,Sebastian Isheden,Jesper melander,Arvid snö,Jesper melander,Magnus Nedfors
WarhammerWarsson,Sebastian Isheden,WarhammerWarsson,Martin Axén,WarhammerWarsson,Jakob Takanen,Craig Turner,WarhammerWarsson,Jonatan Edlund,WarhammerWarsson
Bubba,UlfErling,UlfErling,Folke Byfors,Lillen Svensson,UlfErling,UlfErling,Daniel Martinell,UlfErling,Pontus Krontoft
Craig Turner,Daniel Martinell,Jonatan Edlund,Craig Turner,Craig Turner,Martin Axén,Craig Turner,WarhammerWarsson,Björn Malmborg,Craig Turner
Fredrik Andersson,Jonatan Edlund,Jonatan Edlund,Craig Turner,Daniel Martinell,Jonatan Edlund,Sebastian Isheden,Jonatan Edlund,Jonatan Edlund,WarhammerWarsson
Arvid snö,Lars stålkäft Lindholm,Arvid snö,Magnus Nedfors,Arvid snö,Vilhelm Stokstad,Jesper melander,Arvid snö,Daniel Martinell,Arvid snö
Folke Byfors,Mattias hartzell,UlfErling,Folke Byfors,Bubba,Folke Byfors,Folke Byfors,Lars stålkäft Lindholm,Folke Byfors,Vilhelm Stokstad
WarhammerWarsson,Sebastian Isheden,Sebastian Isheden,Daniel Martinell,Jesper melander,Sebastian Isheden,Sebastian Isheden,Jonatan Edlund,Sebastian Isheden,Fredrik Andersson
Folke Byfors,Mattias hartzell,Mattias hartzell,Pontus Krontoft,Björn Malmborg,Mattias hartzell,Mattias hartzell,Jakob Takanen,Lillen Svensson,Mattias hartzell
Björn Malmborg,Albin Kellqvist,Fredrik Andersson,Björn Malmborg,Björn Malmborg,Mattias hartzell,Lillen Svensson,Björn Malmborg,Björn Malmborg,Craig Turner
Pontus Krontoft,Martin Axén,Mattias hartzell,Pontus Krontoft,Fredrik Andersson,Pontus Krontoft,Pontus Krontoft,Simon Andersson,UlfErling,Pontus Krontoft
Arvid snö,Lars stålkäft Lindholm,Lillen Svensson,Lars stålkäft Lindholm,Lars stålkäft Lindholm,Magnus Nedfors,Folke Byfors,Lars stålkäft Lindholm,Lars stålkäft Lindholm,Jakob Takanen
Magnus Nedfors,Simon Andersson,Arvid snö,Magnus Nedfors,Lars stålkäft Lindholm,Magnus Nedfors,Magnus Nedfors,Vilhelm Stokstad,Jesper melander,Magnus Nedfors
Björn Malmborg,Albin Kellqvist,Albin Kellqvist,Jakob Takanen,Albin Kellqvist,Simon Andersson,Fredrik Andersson,Albin Kellqvist,Bubba,Albin Kellqvist
Jakob Takanen,Vilhelm Stokstad,Albin Kellqvist,Jakob Takanen,WarhammerWarsson,Jakob Takanen,Mattias hartzell,Jakob Takanen,Lars stålkäft Lindholm,Jakob Takanen
Magnus Nedfors,Simon Andersson,Simon Andersson,Vilhelm Stokstad,Albin Kellqvist,Simon Andersson,Pontus Krontoft,Simon Andersson,Martin Axén,Simon Andersson
Pontus Krontoft,Martin Axén,WarhammerWarsson,Martin Axén,Craig Turner,Martin Axén,Bubba,Martin Axén,Martin Axén,Simon Andersson
Craig Turner,Daniel Martinell,Sebastian Isheden,Daniel Martinell,Daniel Martinell,Jonatan Edlund,UlfErling,Daniel Martinell,Daniel Martinell,Arvid snö
Jakob Takanen,Vilhelm Stokstad,Simon Andersson,Vilhelm Stokstad,Arvid snö,Vilhelm Stokstad,Magnus Nedfors,Vilhelm Stokstad,Folke Byfors,Vilhelm Stokstad
