NEW_EVENT_TAG,TTS 2nd May,02-05-2020,3
Matthew Gouldesbrough,Seraphon,3/0/0
Petemoo,Seraphon,3/0/0
Marc Brooks,Mixed,3/0/0
Anttu,Fyreslayers,2/0/1
Tenshura,Maggotkin of Nurgle,2/0/1
Sluki,Kharadron Overlords,2/0/1
Tom Bell,Gloomspite Gitz,2/0/1
Coleus,Skaven,2/0/1
VonSmall,Orruks,2/0/1
Blagan,Beasts of Chaos,2/0/1
Jay D,Slaves To Darkness,2/0/1
Matmallow,Cities of Sigmar,1/0/2
Wynnar,Blades of Khorne,1/0/2
Curvepoint,Idoneth Deepkin,1/0/2
Ojay180,Ossiarch Bonereapers,1/0/2
Soviet Duck,Legion Of Azgorh,1/0/2
JohnDoe297,Blades of Khorne,1/0/2
Diabo,Seraphon,1/0/2
Marcvs,Stormcast Eternals,1/0/2
Togi U Later,Disciples Of Tzeentch,0/0/3
xCUNNELLx,Sylvaneth,0/0/3
Sudge1409,Ironjawz,0/0/3
Matthew Gouldesbrough,VonSmall,Matthew Gouldesbrough,Diabo,Matthew Gouldesbrough,Matmallow
Petemoo,Tenshura,Petemoo,Tom Bell,Petemoo,Ojay180
Marc Brooks,Anttu,Marc Brooks,Curvepoint,Marc Brooks,Sudge1409
Marc Brooks,Anttu,Anttu,Jay D,Anttu,Marcvs
Petemoo,Tenshura,Tenshura,Sluki,Tenshura,JohnDoe297
Sluki,Diabo,Tenshura,Sluki,Sluki,Blagan
Tom Bell,Marcvs,Petemoo,Tom Bell,Tom Bell,Soviet Duck
Coleus,Curvepoint,Coleus,Ojay180,Diabo,Coleus
Matthew Gouldesbrough,VonSmall,VonSmall,Soviet Duck,VonSmall,xCUNNELLx
Blagan,Matmallow,Blagan,JohnDoe297,Sluki,Blagan
Jay D,Wynnar,Anttu,Jay D,Jay D,Togi U Later
Blagan,Matmallow,Matmallow,xCUNNELLx,Matthew Gouldesbrough,Matmallow
Jay D,Wynnar,Wynnar,Sudge1409,Curvepoint,Wynnar
Coleus,Curvepoint,Marc Brooks,Curvepoint,Curvepoint,Wynnar
Ojay180,xCUNNELLx,Coleus,Ojay180,Petemoo,Ojay180
Soviet Duck,Togi U Later,VonSmall,Soviet Duck,Tom Bell,Soviet Duck
JohnDoe297,Sudge1409,Blagan,JohnDoe297,Tenshura,JohnDoe297
Sluki,Diabo,Matthew Gouldesbrough,Diabo,Diabo,Coleus
Tom Bell,Marcvs,Marcvs,Togi U Later,Anttu,Marcvs
Soviet Duck,Togi U Later,Marcvs,Togi U Later,Jay D,Togi U Later
Ojay180,xCUNNELLx,Matmallow,xCUNNELLx,VonSmall,xCUNNELLx
JohnDoe297,Sudge1409,Wynnar,Sudge1409,Marc Brooks,Sudge1409
