NEW_EVENT_TAG,War in the Mortal Realms V,11-05-2019,3
Benjamin Savva,Daughters Of Khaine,3/0/0
Vincent Chan,Blades of Khorne,3/0/0
LeoR,Sylvaneth,3/0/0
Joe McGough,Skaven,2/0/1
Tom Gilboy,Idoneth Deepkin,2/0/1
Matthew Gouldesbrough,Legion of Blood,2/0/1
Charles Nolan,Blades of Khorne,2/0/1
Teck Loy Low,Grand Host of Nagash,2/0/1
Thomas Lemoine,Flesh Eater Courts,2/0/1
Jake Powis,Sylvaneth,2/0/1
Hugh Halligan,Skaven,2/0/1
Simon Fro,Anvilguard,2/0/1
josh wheeler,Skaven,1/0/2
Ben Murphy,Mixed,1/0/2
Adam Cunis,Order Draconis,1/0/2
Thomas Hamilton,Disciples Of Tzeentch,1/0/2
daniil osudin,Disciples Of Tzeentch,1/0/2
Obaid Bin-Nasir ,Stormcast Eternals,1/0/2
Maxime Julian,Stormcast Eternals,1/0/2
Glenn Caldecott,Stormcast Eternals,1/0/2
Dave carter,Nighthaunt,1/0/2
Neil Samuels,Mixed,0/0/3
Ben Gomm,Nighthaunt,0/0/3
Phil Dodd,Stormcast Eternals,0/0/3
Benjamin Savva,Joe McGough,Benjamin Savva,Charles Nolan,Benjamin Savva,Obaid Bin
Vincent Chan,Jake Powis,Vincent Chan,HadrielCaine,Vincent Chan,josh wheeler
LeoR,Teck Loy Low,LeoR,daniil osudin,LeoR,Maxime Julian
Benjamin Savva,Joe McGough,Joe McGough,Thomas Lemoine,Joe McGough,Ben Murphy
Tom Gilboy,Thomas Hamilton,Teck Loy Low,Tom Gilboy,Tom Gilboy,Glenn Caldecott
Matthew Gouldesbrough,HadrielCaine,Matthew Gouldesbrough,Maxime Julian,daniil osudin,Matthew Gouldesbrough
Charles Nolan,Obaid Bin-Nasir,Benjamin Savva,Charles Nolan,Charles Nolan,Hugh Halligan
LeoR,Teck Loy Low,Teck Loy Low,Tom Gilboy,Teck Loy Low,Neil Samuels
Thomas Lemoine,josh wheeler,Joe McGough,Thomas Lemoine,Thomas Lemoine,Simon Fro
Vincent Chan,Jake Powis,Jake Powis,Thomas Hamilton,Jake Powis,Ben Gomm
Hugh Halligan,daniil osudin,Hugh Halligan,Glenn Caldecott,Charles Nolan,Hugh Halligan
Simon Fro,Dave carter,Simon Fro,Ben Murphy,Thomas Lemoine,Simon Fro
Thomas Lemoine,josh wheeler,josh wheeler,Ben Gomm,Vincent Chan,josh wheeler
Ben Murphy,Neil Samuels,Simon Fro,Ben Murphy,Joe McGough,Ben Murphy
Matthew Gouldesbrough,HadrielCaine,Vincent Chan,HadrielCaine,HadrielCaine,Dave carter
Tom Gilboy,Thomas Hamilton,Jake Powis,Thomas Hamilton,Thomas Hamilton,Phil Dodd
Hugh Halligan,daniil osudin,LeoR,daniil osudin,daniil osudin,Matthew Gouldesbrough
Charles Nolan,Obaid Bin-Nasir,Obaid Bin-Nasir,Phil Dodd,Benjamin Savva,Obaid Bin
Maxime Julian,Ben Gomm,Matthew Gouldesbrough,Maxime Julian,LeoR,Maxime Julian
Glenn Caldecott,Phil Dodd,Hugh Halligan,Glenn Caldecott,Tom Gilboy,Glenn Caldecott
Simon Fro,Dave carter,Dave carter,Neil Samuels,HadrielCaine,Dave carter
Ben Murphy,Neil Samuels,Dave carter,Neil Samuels,Teck Loy Low,Neil Samuels
Maxime Julian,Ben Gomm,josh wheeler,Ben Gomm,Jake Powis,Ben Gomm
Glenn Caldecott,Phil Dodd,Obaid Bin-Nasir,Phil Dodd,Thomas Hamilton,Phil Dodd
