NEW_EVENT_TAG,War in the Mortal Realms VIII,28-09-2019,3
Donal Taylor,Gloomspite Gitz,3/0/0
Dan Ryan,Skaven,3/0/0
Dave carter,Legion of Grief,2/0/1
TimGibbs,Ironjawz,2/0/1
Vincent Chan,Blades of Khorne,2/0/1
John Burgess,Blades of Khorne,2/0/1
Sebastian Del Monte,Hosts of Slaanesh,2/0/1
Tom Brown,Stormcast Eternals,2/0/1
JoeRoxborough,Sylvaneth,2/0/1
Arran Folly,Ironjawz,1/0/2
Jim Dixon,Stormcast Eternals,1/0/2
Adam Cunis,Soulblight,1/0/2
Obaid Bin-Nasir ,Stormcast Eternals,1/0/2
Ross Pearson,Maggotkin of Nurgle,1/0/2
Thomas Hamilton,Disciples Of Tzeentch,1/0/2
Warptunneller,Nighthaunt,1/0/2
Des Brennan,Beasts of Chaos,0/0/3
Lee Whitely ,Gutbusters,0/0/3
Donal Taylor,Vincent Chan,Donal Taylor,Jim Dixon,Donal Taylor,Arran Folly
Dan Ryan,TimGibbs,Dan Ryan,Dave carter,Dan Ryan,Adam Cunis
Dave carter,Ross Pearson,Dan Ryan,Dave carter,Dave carter,Des Brennan
Dan Ryan,TimGibbs,TimGibbs,Sebastian Del Monte,TimGibbs,Thomas Hamilton
Donal Taylor,Vincent Chan,Vincent Chan,John Burgess,Vincent Chan,Warptunneller
John Burgess,Warptunneller,Vincent Chan,John Burgess,John Burgess,Tom Brown
Sebastian Del Monte,Arran Folly,TimGibbs,Sebastian Del Monte,Sebastian Del Monte,Obaid Bin
Tom Brown,Jim Dixon,Tom Brown,Obaid Bin-Nasir,John Burgess,Tom Brown
JoeRoxborough,Adam Cunis,Arran Folly,JoeRoxborough,JoeRoxborough,Lee Whitely
Sebastian Del Monte,Arran Folly,Arran Folly,JoeRoxborough,Donal Taylor,Arran Folly
Tom Brown,Jim Dixon,Donal Taylor,Jim Dixon,Jim Dixon,Ross Pearson
JoeRoxborough,Adam Cunis,Adam Cunis,Lee Whitely,Dan Ryan,Adam Cunis
Obaid Bin-Nasir,Des Brennan,Tom Brown,Obaid Bin-Nasir,Sebastian Del Monte,Obaid Bin
Dave carter,Ross Pearson,Ross Pearson,Thomas Hamilton,Jim Dixon,Ross Pearson
Thomas Hamilton,Lee Whitely,Ross Pearson,Thomas Hamilton,TimGibbs,Thomas Hamilton
John Burgess,Warptunneller,Warptunneller,Des Brennan,Vincent Chan,Warptunneller
Obaid Bin-Nasir,Des Brennan,Warptunneller,Des Brennan,Dave carter,Des Brennan
Thomas Hamilton,Lee Whitely,Adam Cunis,Lee Whitely,JoeRoxborough,Lee Whitely
