NEW_EVENT_TAG,Ardfists,19 Nov 2016,5
Justin Shearer,Order
Alex Palamara,Death
Michael Torrisi,Death
Tristan Bone,Destruction
Adam Burt,Destruction
Josh Bishop,Order
Braeden Russell,Chaos
Phillip Johnston,Chaos
Ian Vincent,Chaos
Clint Mallet,Death
Ben Zagami,Destruction
Jason Shenton,Chaos
James Nave,Order
James Smith,Chaos
Joshua Lawson,Destruction
Travis Michaels,Chaos
Brenton Shaw,Order
Michael Creighton,Stormcast Eternals
Brendan Dougherty,Chaos
Jemma Shepherd,Chaos
John Charrison,Chaos
Mark Warhurst,Daemons of Nurgle
Travis Cooper,Chaos
