NEW_EVENT_TAG,BCGT,30 Jul 2017,3
Blake Kerwick,Disciples of Tzeentch
David Kerr,Disciples of Tzeentch
Paul Aitkenhead,Blades of Khorne
Luke Taylor,Blades of Khorne
Clint Mallet,Death
Matthew Gammie,Wanderers
Liam Smits,Beastclaw Raiders
Jacob Antonelli,Stormcast Eternals
Zac Stone,Clan Skryre
Hayden Walker,Destruction
Jake Craig,Flesh Eater Courts
Shaun Towndren,Stormcast Eternals
Alistair Webster,Stormcast Eternals
Gabriel Hanna,Blades of Khorne
Shaun Cassidy,Stormcast Eternals
Keaghan Watson,Stormcast Eternals
Callan MacDonald,Blades of Khorne
Sam Linde,Blades of Khorne
James Shaman,Death
Connor Armstrong,Kharadron Overlords
Michael Creighton,Sylvaneth
Justin Fairman,Chaos
Davey Keegan,Seraphon
Eddie Lara,Flesh Eater Courts
Gokan Alyuz,Seraphon
Andrew Macdivitt,Ironjawz
Evan Dennett,Stormcast Eternals
