NEW_EVENT_TAG,Bendigo,21 Oct 2018,5
Jesse Perkins,Daughters of Khaine
Joel McGrath,Host of Slaanesh
Lachie Mulcahy,Daughters of Khaine
Mathew Tyrrell,Legion of Blood
Cory Ford,Blades of Khorne
Chris Cousens,Stormcast Eternals
Michael Thomson,Grand Host of Nagash
Rhys McGlinn,Legion of Azgorh
Dalton Copeland,Maggotkin of Nurgle
Patrick Nevan,Blades of Khorne
Max Zegelin,Flesh Eater Courts
Kameron Ritchie,Grand Host of Nagash
Luke Ingram,Nighthaunt
Tristan Smith,Stormcast Eternals
Shaun Kerr,Legion of Azgorh
Thomas Smart,Chaos
David Cunning,Nighthaunt
Alex Orr,Disciples of Tzeentch
Nick Hoen,Seraphon
Ben Murray,Seraphon
Steve Sauer,Kharadron Overlords
Nathaniel Forrest,Stormcast Eternals
