NEW_EVENT_TAG,Blades ,10 Aug 2019,3
Corey Papiniemi,Skaventide
Jason Harris,Fyreslayers
Michael Creighton,Ironjawz
Ryan Shanks,Gloomspite Gitz
Sam Garlejo,Flesh Eater Courts
Gary Houschildt,Grand Host of Nagash
Seth Schneider,Maggotkin of Nurgle
Ryan Schmidt,Grand Host of Nagash
Ryan Hooper,Hedonites of Slaanesh
Tim Davis,Ironjawz
Brad Petrie,Maggotkin of Nurgle
Michael Carter,Flesh Eater Courts
Matthew Gammie,Bonesplitterz
Keaghan Watson,Order Draconis
Monika Ba,Blades of Khorne
Darcy O'Brien,Ironjawz
Kieran Weier,Nighthaunt
Brady Abberton,Wanderers
Stavros Kalaitzidis,Legion of Grief
