NEW_EVENT_TAG,Briscon,29 Apr 2017,5
Matt Campbell,Destruction
Chris Tot,Seraphon
David Kerr,Disciples of Tzeentch
Tim Macdivitt,Stormcast Eternals
Chris Welfare,Sylvaneth
Clint Mallet,Death
Paul Aitkenhead,Blades of Khorne
Hayden Walker,Destruction
Dan Saye,Order
Anthony Magro,Order
Jemma Shepherd,Chaos
Hayden Manskie,Flesh Eater Courts
Jett Griffiths,Ironjawz
Dan Brewer,Chaos
Liam Burnett,Sylvaneth
Ashley McEwan,Ironjawz
Jason Harris,Fyreslayers
Chris Stratford,Sylvaneth
Michael Creighton,Disciples of Tzeentch
Darren Free,Ironjawz
Sean Beggs,Chaos
Wes Graham,Seraphon
Shaun Cassidy,Stormcast Eternals
Terrance Trudgett,Disciples of Tzeentch
Dylan O'Brien,Tomb Kings
James Onion,Stormcast Eternals
