NEW_EVENT_TAG,Brizhammer 3,1 Jun 2019,5
David Kerr,Gloomspite Gitz
Dean Matthews,Greenskinz
Tyler Macdonald,Blades of Khorne
Gary Den,Daughters of Khaine
Gary Houschildt,Grand Host of Nagash
Corey Papiniemi,Maggotkin of Nurgle
Michael Creighton,Everchosen
Sean Hortin,Ironjawz
Nick Bentley,Grand Host of Nagash
Patrick Carter,Kharadron Overlords
Trent Denison,Ironjawz
Matthew Gammie,Blades of Khorne
Darren Free,Maggotkin of Nurgle
Josh Maher,Maggotkin of Nurgle
Liam Lucas,Gloomspite Gitz
Chris Stratford,Skaventide
Allan Bachman,Flesh Eater Courts
Nick Cambridge,Seraphon
Callum Scotland,Nighthaunt
Connor Armstrong,Gloomspite Gitz
