NEW_EVENT_TAG,Clash of Heroes,3 Mar 2019,3
Nathan Princi,Stormcast Eternals
Dan Brewer,Skaventide
Thomas Holdsworth,Skaventide
Joel Hennesy,Gloomspite Gitz
Keiryn Brown,Sylvaneth
Benjamin Spinetti,Idoneth Deepkin
Peter Pretyman,Ironjawz
Keith Williamson,Legion of Night
Deke Johnstone,Flesh Eater Courts
Haydn Wright,Seraphon
Damian Newsome,Beastclaw Raiders
Robert Kern,Skaventide
Nick Ward,Nighthaunt
Adam Zerafa,Stormcast Eternals
Fued Oner,Seraphon
Ben Klok,Grand Host of Nagash
Craig Anderson,Everchosen
Ben Chong Sun,Legion of Night
