NEW_EVENT_TAG,Dark Magician August,25 Aug 2019,3
Corey Papiniemi,Skaventide
Ryan Hooper,Hedonites of Slaanesh
Steven Fitzpatrick,Flesh Eater Courts
Jye Callanan,Grand Host of Nagash
Matthew Daly,Idoneth Deepkin
Seth Schneider,Tamurkhan
Monika Ba,Blades of Khorne
Sam Garlejo,Grand Host of Nagash
Hayden Walker,Hedonites of Slaanesh
James Shaman,Flesh Eater Courts
Keaghan Watson,Seraphon
Rhys Trout,Gloomspite Gitz
Ryan Shanks,Gloomspite Gitz
Luen McKerrow,Blades of Khorne
Lachlan Van Dalen,Grand Host of Nagash
Chris Eddy,Idoneth Deepkin
Tim Davis,Ironjawz
Brendan Anthonisz,Gloomspite Gitz
