NEW_EVENT_TAG,GAMES CUBE AUGUST,19 Aug 2018,3
Chris Tot,Maggotkin of Nurgle
Liam Burnett,Daughters of Khaine
Brod McMurdo,Maggotkin of Nurgle
Keith Williamson,Stormcast Eternals
Ken Van't Schip,Grand Host of Nagash
Dan Brewer,Tomb Kings
Ashley McEwan,Disciples of Tzeentch
Kieran Askins,Sylvaneth
Thomas Holdsworth,Clan Verminus
Benjamin Spinetti,Kharadron Overlords
Daniellorddoyle,Blades of Khorne
Anthony Magro,Moonclan Grots
Jett Griffiths,Bonesplitterz
Nick Ward,Nighthaunt
Tim Barclay,Legion of Blood
Ethan McDonald,Stormcast Eternals
Deke Johnstone,Nighthaunt
Aaron Wood,Idoneth Deepkin
Michael Pene,Flesh Eater Courts
Jeff Galea,Order
Alex Pavlich,Legion of Sacrament
Bradley Baker,Flesh Eater Courts
Ben Chong Sun,Legion of Night
