NEW_EVENT_TAG,GODS OF WAR,26 Aug 2018,5
Chris Welfare,Sylvaneth
Dan Brewer,Tomb Kings
Ethan McDonald,Stormcast Eternals
Nathan Princi,Blades of Khorne
Ashley McEwan,Disciples of Tzeentch
Chris Tot,Maggotkin of Nurgle
Peter Pretyman,Destruction
Dan Doyle,Blades of Khorne
Zac Wilson,Seraphon
Matt Campbell,Bonesplitterz
Thomas Holdsworth,Maggotkin of Nurgle
Michael Pene,Legion of Sacrament
Dan Saye,Dispossessed
Paul Grixti,Sylvaneth
Steve Kassem,Disciples of Tzeentch
Jett Griffiths,Bonesplitterz
Andrew Sherman,Nighthaunt
Andrew Pongrass,Nighthaunt
Scott Norwood,Blades of Khorne
Jakeb Sparke,Disciples of Tzeentch
