NEW_EVENT_TAG,Games Cube February,18 Feb 2018,3
Matt Campbell,Blades of Khorne
James Speller,Beastclaw Raiders
Michael Healy,Death
Thomas Holdsworth,Chaos
Brody Burger,Stormcast Eternals
Jack Hendry,Beastclaw Raiders
Nishan Aratoon,Sylvaneth
Shaun Ratcliffe,Disciples of Tzeentch
Chris Welfare,Clan Skryre
Simon Ross,Sylvaneth
Anthony Magro,Death
Keith Williamson,Death
Scott Norwood,Disciples of Tzeentch
Josh Hambley,Maggotkin of Nurgle
Mitchell Hynes,Flesh Eater Courts
Bradley Baker,Flesh Eater Courts
Daniel Picard,Stormcast Eternals
Tom Branford,Sylvaneth
Michael Farrell,Order
Nick Ward,Maggotkin of Nurgle
Edward Happer,Moonclan Grots
