NEW_EVENT_TAG,Games Cube January,20 Jan 2019,3
Ken Van't Schip,Idoneth Deepkin
Brody Burger,Stormcast Eternals
Liam Burnett,Sylvaneth
Benjamin Spinetti,Idoneth Deepkin
Keith Williamson,Legion of Night
Josh Hambley,Maggotkin of Nurgle
Thomas Holdsworth,Clan Pestilens
Anthony Magro,Gloomspite Gitz
Kieran Askins,Grand Host of Nagash
Jesse Urso,Clan Skryre
Nick Ward,Nighthaunt
Deke Johnstone,Blades of Khorne
Mitchell Hynes,Host of Slaanesh
Ben Chong Sun,Legion of Night
Nishan Aratoon,Stormcast Eternals
Jack Hendry,Destruction
Ashley McEwan,Nighthaunt
Ben Klok,Tomb Kings
James Speller,Legion of Blood
