NEW_EVENT_TAG,Good Games Melbourne 1k,28 Apr 2018,4
Joel McGrath,Host of Slaanesh
Cory Ford,Blades of Khorne
Danny Carroll,Free Peoples
Sam Morgan,Daughters of Khaine
Patrick Nevan,Blades of Khorne
Dalton Copeland,Maggotkin of Nurgle
Thomas Smart,Clan Skryre
Luke Stopp,Kharadron Overlords
Josh Lessing,Blades of Khorne
Brian Holland,Daughters of Khaine
Kameron Ritchie,Grand Host of Nagash
Tristan Smith,Stormcast Eternals
Shaun Kerr,Legion of Azgorh
Jason Spinks,Ironjawz
Brendan Dougherty,Sylvaneth
Joshua Bohlmann,Nighthaunt
Ben Murray,Seraphon
Jayden Rusic,Thunderscorn
Christopher Hernandez,Stormcast Eternals
