NEW_EVENT_TAG,GuF Bendigo Monthly - February,9 Feb 2020,3
Cory Ford,Slaves to Darkness
Joel McGrath,Beasts of Chaos
Kameron Ritchie,Idoneth Deepkin
Corey Beilharz,Ossiarch Bonereapers
Patrick Nevan,Ogre Mawtribes
Jason Spinks,Gloomspite Gitz
Shaun Kerr,Disciples of Tzeentch
Dalton Copeland,Big Waaagh
Peter Atkinson,Ironjawz
Jason Brown,Flesh Eater Courts
David Cunning,Legion of Grief
Tyson Gleeson,Sylvaneth
Tyson Hobbs,Ogre Mawtribes
Rhys McGlinn,Fyreslayers
Kyle Hoffman,Ossiarch Bonereapers
Ben Murray,Seraphon
Alex Orr,Disciples of Tzeentch
Luke Ingram,Legion of Night
