NEW_EVENT_TAG,Measured Gaming,24 Mar 2018,5
Rohit Thomas,Sylvaneth
Patrick Nevan,Blades of Khorne
Joel McGrath,Brayherd
Peter Atkinson,Destruction
Justin Shearer,Stormcast Eternals
Luke Ingram,Legion of Night
Tristan Smith,Stormcast Eternals
Cory Ford,Blades of Khorne
Joshua Bohlmann,Grand Host of Nagash
Axel Geddes,Beastclaw Raiders
Thomas Smart,Clan Skryre
Jason Spinks,Ironjawz
Ben Murray,Seraphon
Oscar Carter,Chaos
Max Zegelin,Daughters of Khaine
Dalton Copeland,Maggotkin of Nurgle
Rowan Sweeney,Stormcast Eternals
Dominic Nowell,Stormcast Eternals
Alex Orr,Disciples of Tzeentch
Shaun Kerr,Legion of Azgorh
Xavier O'Donnell,Blades of Khorne
Steve Sauer,Kharadron Overlords
Danny Carroll,Stormcast Eternals
Christopher Hernandez,Stormcast Eternals
Lachlan Hutchinson,Legion of Blood
Jayden Rusic,Host of Slaanesh
James Sendy,Brayherd
Luke Stopp,Kharadron Overlords
Corey Beilharz,Disciples of Tzeentch
Crystal Apps,Sylvaneth
