NEW_EVENT_TAG,SAGT,16 Mar 2019,5
Dan Brewer,Skaventide
Michael Creighton,Flesh Eater Courts
Sam Morgan,Order
Wayne Buck,Skaventide
Gabriele Dello,Legion of Sacrament
Charles Black,Disciples of Tzeentch
David Kerr,Maggotkin of Nurgle
Luke Doman,Nighthaunt
Tristan Smith,Daughters of Khaine
Peter Atkinson,Bonesplitterz
Dalton Copeland,Gloomspite Gitz
Jemma Shepherd,Flesh Eater Courts
Ben Macey,Stormcast Eternals
Joel McGrath,Skaventide
Dean Matthews,Destruction
Tyson Gleeson,Seraphon
Nathan Princi,Stormcast Eternals
Colin Green,Daughters of Khaine
Luke Ingram,Flesh Eater Courts
Oliver Price,Nighthaunt
Paul Brolese,Flesh Eater Courts
Kris Becker,Sylvaneth
Adam Huey,Order
Michael Wood,Fyreslayers
Alex Sobiecki,Idoneth Deepkin
Peter Catlin,Beastclaw Raiders
Andreas Nicolay,Skaventide
Danny Carroll,Free Peoples
David Hurley,Flesh Eater Courts
Nick Hoen,Blades of Khorne
Adam Kakwah,Ironjawz
Stewart Francis,Maggotkin of Nurgle
David Cunning,Nighthaunt
Mike Turner,Grand Host of Nagash
Andrew Frankhuisen,Ironjawz
Ranjith Jayasinghe,Tomb Kings
Christian Wear,Gloomspite Gitz
Clint Mallet,Legion of Night
Chris Stratford,Skaventide
Alexander Krohn,Kharadron Overlords
Travis Cooper,Slaves to Darkness
Michael Cheel,Beastclaw Raiders
Nick Conlan,Gloomspite Gitz
Daland Lahiff,Beastclaw Raiders
Nick Palmrose,Sylvaneth
Jason Tipping,Nighthaunt
Luke Stone,Scourge Privateers
Adam Williamson,Slaves to Darkness
