NEW_EVENT_TAG,Smorgancon - National Treasure,13 Jan 2019,3
Rhys McGlinn,Legion of Azgorh
Nick Hoen,Grand Host of Nagash
Peter Atkinson,Bonesplitterz
Patrick Nevan,Blades of Khorne
Travis Kennedy,Hedonites of Slaanesh
Chris Cousens,Stormcast Eternals
Joel McGrath,Beasts of Chaos
Ryan Kirby,Beasts of Chaos
Oliver Price,Nighthaunt
Adam Burt,Stormcast Eternals
Lance Shi,Grand Host of Nagash
Christian Wear,Phoenix Temple
Stuart Mccowen,Grand Host of Nagash
Danny Carroll,Free Peoples
William Knight,Legion of Blood
Ian Vincent,Blades of Khorne
Marcus Krigsman,Stormcast Eternals
Ben Zagami,Disciples of Tzeentch
Jarrad Coots,Maggotkin of Nurgle
Dick Stewart,Devoted of Sigmar
Ranjith Jayasinghe,Tomb Kings
Lachie Mulcahy,Daughters of Khaine
Adam Kakwah,Ironjawz
Player,Daughters of Khaine
Brendan Dougherty,Sylvaneth
Brenton Shaw,Ironjawz
