NEW_EVENT_TAG,Speed Dating at Measured ,21 Apr 2018,5
Patrick Nevan,Stormcast Eternals
Joel McGrath,Warherd
Cory Ford,Blades of Khorne
Kameron Ritchie,Grand Host of Nagash
Dalton Copeland,Moonclan Grots
Axel Geddes,Beastclaw Raiders
Shaun Kerr,Greenskinz
Jason Spinks,Ironjawz
Tristan Smith,Stormcast Eternals
Corey Beilharz,Disciples of Tzeentch
Lachlan Hutchinson,Stormcast Eternals
Luke Ingram,Legion of Night
Dominic Nowell,Stormcast Eternals
Crystal Apps,Sylvaneth
Alex Orr,Disciples of Tzeentch
Ben Murray,Seraphon
