NEW_EVENT_TAG,Sydney Slaughter,9 Jun 2019,5
Matt Campbell,Blades of Khorne
Steven Drury,Grand Host of Nagash
Sean Haigh,Stormcast Eternals
Keith Williamson,Gloomspite Gitz
Benjamin Spinetti,Idoneth Deepkin
Anthony Magro,Gloomspite Gitz
Kieran Askins,Daughters of Khaine
Liam Burnett,Flesh Eater Courts
Jordan Burgess,Maggotkin of Nurgle
Robert Reimers,Stormcast Eternals
Andrew Bigwood,Order
Ethan McDonald,Idoneth Deepkin
Brogan Clark,Ironjawz
Bradley Baker,Flesh Eater Courts
Travis Cooper,Slaves to Darkness
Deke Johnstone,Nighthaunt
Ken Van't Schip,Idoneth Deepkin
Jeff Galea,Order
Lachlan Clark,Nighthaunt
Ashley McEwan,Nighthaunt
Joshua Foster,Hedonites of Slaanesh
Richard Hill,Fyreslayers
Peter Pretyman,Destruction
Alex Murray,Darkling Covens
Jett Griffiths,Kharadron Overlords
David Hurley,Stormcast Eternals
Ben Sun,Legion of Night
Dan Lord,Blades of Khorne
Jonathan Burn,Dispossessed
Mitchell Hynes,Hedonites of Slaanesh
Braiden Graw,Legion of Sacrament
Robert Kern,Skaventide
Zoran Tillers,Maggotkin of Nurgle
Josh McVey,Ironjawz
Craig Anderson,Stormcast Eternals
James Cotsios,Stormcast Eternals
James Maybury,Legion of Night
Martin Brooks,Destruction
Steven Patteson,Blades of Khorne
Josh Best,Destruction
Andy Mac,Destruction
Beth Bigwood,Seraphon
