NEW_EVENT_TAG,War in the West,28 Jul 2019,5
Corey Papiniemi,Skaventide
Carwyn Llewelyn,Hedonites of Slaanesh
Ryan Hooper,Hedonites of Slaanesh
David Lancaster,Skaventide
Tyler Macdonald,Blades of Khorne
Nick Cambridge,Daughters of Khaine
Luke Gooley,Gloomspite Gitz
Luke McFadden,Legion of Sacrament
Simon Hall,Gloomspite Gitz
Gabriel Hanna,Legion of Azgorh
Michael Creighton,Ironjawz
Denys Laurie,Flesh Eater Courts
Hayden Walker,Daughters of Khaine
Chris Stratford,Skaventide
Gavin Woodrow,Flesh Eater Courts
Callum Scotland,Legion of Grief
Keaghan Watson,Stormcast Eternals
Jye Callanan,Grand Host of Nagash
Patrick Carter,Fyreslayers
Michael Thomson,Stormcast Eternals
Scott Kutzer,Idoneth Deepkin
James Maybury,Legion of Grief
Clint Mallet,Legion of Sacrament
Roger Birkett,Idoneth Deepkin
Jemma Shepherd,Legion of Grief
Elisabeth Lockhart,Legion of Sacrament
David Maidment,Maggotkin of Nurgle
Shaun Cassidy,Maggotkin of Nurgle
Stavros Kalaitzidis,Legion of Grief
Nick Bentley,Grand Host of Nagash
Ben Roughan,Beasts of Chaos
Anthoney Whitlock,Gloomspite Gitz
Chris Wilcox,Beasts of Chaos
Bryce Woodly,Gutbusters
Nathan Goodchild,Skaventide
Robert Haseldine,Grand Host of Nagash
Cameron McCormack,Blades of Khorne
Brady Abberton,Wanderers
Jeremy O'Kell,Ironjawz
