NEW_EVENT_TAG,BOBO,18 May 2019,5
Jack Armstrong,Daughters of Khaine
Dan Bradshaw,Skaventide
Ritchie McAlley,Gloomspite Gitz
Phil McGuiness,Skaventide
Craig Namvar,Beasts of Chaos
Leo Rautomen,Sylvaneth
Max Barton,Flesh Eater Courts
Colin Cochrane,Daughters of Khaine
Mark Wildman,Blades of Khorne
Thomas Waller,Flesh Eater Courts
Jj Cropley,Skaventide
William Barton,Idoneth Deepkin
Josh Stevenson,Fyreslayers
Simon Eccles,Flesh Eater Courts
Tony Moore,Flesh Eater Courts
Alex Bruce,Order
Daniil Osudin,Disciples of Tzeentch
Declan McKitrich,Blades of Khorne
Michael Brough,Skaventide
Benjamin Savva,Daughters of Khaine
David Nemeth,Flesh Eater Courts
John Dale,Skaventide
Daniel Ford,Skaventide
Lindon Wedgewood,Gloomspite Gitz
James Ganis,Flesh Eater Courts
Owen Jackson,Sylvaneth
Adam Cunis,Order Draconis
Darren Watson,Hedonites of Slaanesh
Player,Seraphon
Mark Busby,Hedonites of Slaanesh
Stuart West,Legions of Nagash
Rob Wright,Idoneth Deepkin
James Tinsdale,Idoneth Deepkin
Aaron Wilson,Sylvaneth
Ric Myhill,Beasts of Chaos
Chris Myhill,Order
Phil Shaw,Seraphon
Steve Dooley,Darkling Covens
Sebastian Del Monte,Gloomspite Gitz
Andy Hughes,Fyreslayers
William Philpott,Order
James Roberts,Stormcast Eternals
Joe Purcell,Hedonites of Slaanesh
Gabe Huddlestone,Legions of Nagash
Laurie H,Blades of Khorne
David Cook,Legions of Nagash
Miles Hewitt,Skaventide
Donal Taylor,Legions of Nagash
Tom Fretwell,Flesh Eater Courts
Johnny Armstrong,Skaventide
Michael Wendel,Gutbusters
Alex Jones,Flesh Eater Courts
Jay Kinsella,Blades of Khorne
Teck Loy,Legions of Nagash
Rob Nixon,Beasts of Chaos
Peter Humpage,Order Draconis
Jack McQuiggin,Seraphon
Stephen Mitchell,Legions of Nagash
Owyn Abram,Legions of Nagash
George Newbould,Gloomspite Gitz
Louis Medows,Stormcast Eternals
James Hobbs,Seraphon
Dan Hughes,Gloomspite Gitz
Adam Sinclair,Skaventide
Tim Fisher,Gloomspite Gitz
Travis Kelly,Fyreslayers
James Bedford,Stormcast Eternals
Gary Percival,Kharadron Overlords
Luke Whitehead,Flesh Eater Courts
Omar Valero,Stormcast Eternals
Alex Ley,Fyreslayers
Chris Elliot,Skaventide
Tim Holbrook,Destruction
James Grant,Stormcast Eternals
Chris Hibbins,Maggotkin of Nurgle
Sam Watson,Flesh Eater Courts
Troy Hardy,Hedonites of Slaanesh
James Boots,Blades of Khorne
Kevin Chandler,Slaves to Darkness
Adam Hazelwood,Nighthaunt
Adrian McWalter,Chaos
Nick Thompson,Gloomspite Gitz
Toby Meadows,Stormcast Eternals
Martyn Furnival,Hedonites of Slaanesh
Tom Bell,Gloomspite Gitz
Duncan Woods,Beasts of Chaos
Matthew Hinton,Maggotkin of Nurgle
James Williams,Maggotkin of Nurgle
Paul Coram,Sylvaneth
Dan George,Hedonites of Slaanesh
Pete Scholey,Flesh Eater Courts
Liam Jordan,Nighthaunt
Paul Haley,Daughters of Khaine
Nathan Sandison,Legions of Nagash
Mark Williams,Stormcast Eternals
Chris Archibald,Idoneth Deepkin
Andy Scott,Legions of Nagash
Seb Donley,Idoneth Deepkin
Tom Patton,Beasts of Chaos
James Farmer,Seraphon
Lee Bromley,Flesh Eater Courts
Liam Tommey,Skaventide
Cain O'Siorain,Kharadron Overlords
Vincent Chan,Blades of Khorne
Nigel Bartlett,Gutbusters
Adrian Thompson,Beasts of Chaos
Dan Wright,Skaventide
Andrew Hodges,Death
Shane Ford,Beasts of Chaos
James Field,Beastclaw Raiders
Michael Cook,Destruction
Paul Rea,Flesh Eater Courts
Tim Unwin,Blades of Khorne
Anthony Poole,Sylvaneth
Tim Willoughby,Gloomspite Gitz
Craig Graham,Legions of Nagash
Daniel Elkington,Slaves to Darkness
Ben Bailey,Daughters of Khaine
Josh Tetley,Legions of Nagash
Thomas Lawler,Maggotkin of Nurgle
Matt Shepperson,Gutbusters
Reece West,Stormcast Eternals
Michael Stewart,Stormcast Eternals
Stevie Kilmister,Seraphon
Steve Milford,Gloomspite Gitz
Damian Elvidge,Dispossessed
Robert Sedgeman,Destruction
Gareth Hughes,Blades of Khorne
James Pickup,Maggotkin of Nurgle
Chris Nellis,Daughters of Khaine
Angus Brain,Beasts of Chaos
Michael O'Connor,Order Draconis
Marc Brookes,Maggotkin of Nurgle
Ben Booker,Legions of Nagash
Lawrence Craven,Flesh Eater Courts
Kevin Low,Beasts of Chaos
Rob Noyes,Stormcast Eternals
Daniel Ryan,Skaventide
Andrew Hartwell,Legions of Nagash
Simon Froley,Devoted of Sigmar
Kevin Mossman,Legions of Nagash
Matt Robinson,Maggotkin of Nurgle
Shane Hurley,Ironjawz
Clint Mallet,Legions of Nagash
Ben Seymour,Kharadron Overlords
Sean McKechnie,Gloomspite Gitz
Rick Nightingale,Blades of Khorne
Keith Ball,Flesh Eater Courts
Simon Partridge,Beasts of Chaos
Callum Watson,Blades of Khorne
James Hayday,Stormcast Eternals
Paul Whitehead,Order Draconis
James Mapson,Disciples of Tzeentch
Matt Hammond,Gloomspite Gitz
Player,Blades of Khorne
Obaid Bin,Stormcast Eternals
Alun Haines,Daughters of Khaine
Pete Lockwood,Bonesplitterz
Ceri Robson,Gloomspite Gitz
Graham Dane,Gloomspite Gitz
Alan Witherden,Kharadron Overlords
Gareth Parfitt,Gloomspite Gitz
Lee Kay,Dispossessed
Mike Thomas,Gutbusters
Grant Fraser,Stormcast Eternals
Will O'Siorain,Wanderers
Glen Caldecott,Stormcast Eternals
Keith Baggott,Wanderers
Chris Mills,Blades of Khorne
Graham Wilson,Legions of Nagash
Bryn Roberts,Sylvaneth
John Craig,Kharadron Overlords
Gareth Ravenscroft,Disciples of Tzeentch
Neil Montgomery,Gloomspite Gitz
John Greene,Sylvaneth
James Powell,Order
Dan Buchanan,High Elves
Katalin Fekete,Idoneth Deepkin
Simon Bradbury,Skaventide
James Thompson,Gloomspite Gitz
James Beeden,Seraphon
Player,Gloomspite Gitz
Harry Sanderson,Ironjawz
Ned Brown,Beastclaw Raiders
James Cassidy,Stormcast Eternals
Colin Mather,Hedonites of Slaanesh
Christine Coram,Ironjawz
Jamie Muscroft,Kharadron Overlords
Stuart Hodges,Gloomspite Gitz
John Harrison,Gutbusters
Garry Marshall,Maggotkin of Nurgle
Nick Pratt,Beastclaw Raiders
