NEW_EVENT_TAG,Hero Phase Irish GT,5 Oct 2019,5
Clemens Arndt Lange,Skaventide
Chris Caves Jr,Disciples of Tzeentch
Ken Chambers,Flesh Eater Courts
Richard Flood,Hedonites of Slaanesh
Dean McLaughlin,Skaventide
Kevin Grimes,Hedonites of Slaanesh
Dave Robinson,Flesh Eater Courts
Peter Pratt,Gloomspite Gitz
Chris Caves Snr,Daughters of Khaine
Craig Morrow,Skaventide
Ciaran Smyth,Maggotkin of Nurgle
Michael Husmann,Disciples of Tzeentch
Michael Brough,Skaventide
Paul Rea,Skaventide
Colin Cochrane,Daughters of Khaine
Will O'Siorain,Idoneth Deepkin
Chris Nellis,Fyreslayers
Andy Farrell,Legion of Grief
Shane Ford,Beasts of Chaos
Chris Archibald,Idoneth Deepkin
Philipp Will,Ironjawz
Solomon Morrow,Legions of Nagash
Damien Kaukonen,Seraphon
Sean McKechnie,Gloomspite Gitz
Dermot Lacey,Stormcast Eternals
Rob Kelly,Flesh Eater Courts
Jay Kinsella,Maggotkin of Nurgle
John Twomey,Seraphon
Ben Cochrane,Fyreslayers
James Kavanagh,Beasts of Chaos
Cain O'Siorain,Kharadron Overlords
Andrew Dorman,Nighthaunt
Grzegorz Zeweld,Gloomspite Gitz
Samuel Green,Skaventide
Paul Maloney,Gloomspite Gitz
John Stangel,Ironjawz
Robert Kelly,Gloomspite Gitz
Timmy Larkin,Idoneth Deepkin
Laura McNeill,Flesh Eater Courts
Ryan Mollen,Fyreslayers
Tom Landy,Stormcast Eternals
Ritchie Sanisteben,Everchosen
David Harvey,Legions of Nagash
Gavin Dorrigan,Legions of Nagash
