NEW_EVENT_TAG,LGT London Grand Tournament Singles,14-09-2019,5
Piotr Kurkowski,Daughters Of Khaine,5/0/0
Darren Watson,Disciples Of Tzeentch,5/0/0
Philipp Kartaev,Fyreslayers,4/0/1
Jack Armstrong,Skaven,4/0/1
Thomas Lemoine,Flesh Eater Courts,4/0/1
Ben Murphy,Grand Host of Nagash,4/0/1
Adam Mumford,Idoneth Deepkin,4/0/1
Vincent Chan,Blades of Khorne,4/0/1
Francois MERCIER,Fyreslayers,4/0/1
Stevecurtis,Flesh Eater Courts,4/0/1
LeoR,Ironjawz,4/0/1
David Glaysher,Hosts of Slaanesh,4/0/1
Mark curtis,Sylvaneth,4/0/1
TL Low,Idoneth Deepkin,4/0/1
CraigNamvar,Disciples Of Tzeentch,3/0/2
Colin Cochrane,Fyreslayers,3/0/2
Chris Francis,Sylvaneth,3/0/2
Sam Loving,Stormcast Eternals,3/0/2
Simon Fro,Daughters Of Khaine,3/0/2
Ollie Fox,Skaven,3/0/2
Ben Mardle,Hosts of Slaanesh,3/0/2
Daniil Osudin,Disciples Of Tzeentch,3/0/1
Matthew Gouldesbrough,Seraphon,3/0/2
James Wilson,Sylvaneth,3/0/2
Benjamin Savva,Skaven,3/0/2
Pask Made Me Bring This,Hosts of Slaanesh,3/0/2
Max Barton,Blades of Khorne,3/0/2
Johnny Armstrong,Skaven,3/0/2
Jiwan noah singh,Skaven,3/0/2
Adam Cunis,Mixed,3/0/2
Sam saunders,Stormcast Eternals,3/0/2
James Grant,Stormcast Eternals,3/0/2
Ralph Hughes,Greywater Fastness,3/0/2
Obaid Bin-Nasir,Stormcast Eternals,3/0/2
Matthew Ward,Legion of Grief,3/0/2
Jimbo Warth,Stormcast Eternals,3/0/2
Shane Forde,Beasts of Chaos,3/0/2
lhw,Sylvaneth,2/0/3
Charles Hollom,Beasts of Chaos,2/0/3
Hugh Halligan,Free Peoples,2/0/3
Samuel Sinclair,Free Peoples,2/0/3
Chris Hibbins,Sylvaneth,2/0/3
Paul Berridge,Flesh Eater Courts,2/0/3
Balal Zafar,Wanderers,2/0/3
Ben Raven,Blades of Khorne,2/0/3
Owen Jackson,Sylvaneth,2/0/3
Daniel White,Skaven,2/0/3
Ming Lee,Gloomspite Gitz,2/0/3
Simon Cobb,Ironjawz,2/0/3
Dan George,Blades of Khorne,2/0/3
Joseph Carr,Legion of Sacrament,2/0/3
Jani Szaniszlo,Ironjawz,2/0/3
Nicholas Ruesink-Brown,Fyreslayers,2/0/3
Lee Whitely,Blades of Khorne,2/0/3
Dave carter,Legion of Grief,2/0/3
Richard Nutter,Nighthaunt,2/0/3
James Houston,Skaven,2/0/3
Sebastian Sjostrom,Grand Host of Nagash,2/0/3
Will Johnson,Blades of Khorne,2/0/3
Thomas Hamilton,Blades of Khorne,2/0/3
Daniel Harston,Flesh Eater Courts,1/0/4
Chris Thursten,Disciples Of Tzeentch,2/0/3
Darron Styles,Seraphon,1/0/4
Andy Hall,Kharadron Overlords,1/0/4
Alexander Ford,Disciples Of Tzeentch,1/0/4
Maxime Julian,Maggotkin of Nurgle,1/0/4
Scott Baker,Blades of Khorne,1/0/4
Freddie leggett,Beasts of Chaos,1/0/3
Kyle Stanton,Daemons Of Slaanesh,1/0/4
Angus Brain,Mixed,1/0/4
Jonathan gregory,Stormcast Eternals,2/0/1
Charles Sealey,Blades of Khorne,1/0/2
Ryan Muza,Stormcast Eternals,1/0/4
George Stone,Legion of Blood,1/0/2
Sam Freeman,Grand Host of Nagash,0/0/5
MITZY,Gloomspite Gitz,0/0/5
Gabriele Sosso,Nighthaunt,0/0/5
