NEW_EVENT_TAG,Simon's Southern Scrap #1,12-09-2020,3
Hayden Walker,Ogor Mawtribes,3/0/0
James Lynch,Hosts of Slaanesh,3/0/0
Keaghan Watson,Seraphon,2/0/1
Denys Laurie,Ironjawz,2/0/1
Corey Papinniemi,Ogor Mawtribes,2/0/1
Michael Creighton,Idoneth Deepkin,2/0/1
Mat Idoneth,Idoneth Deepkin,2/0/1
Ryan Hooper,Kharadron Overlords,2/0/1
Chris Eddy,Slaves To Darkness,1/0/2
Chris Stratford,Kharadron Overlords,1/0/2
Jye Callanan,Hosts of Slaanesh,1/0/2
Matt Gammie,Daughters Of Khaine,1/0/2
Pat Carter,Fyreslayers,0/2/1
sam garlejo,Kharadron Overlords,0/1/2
Sam Thomson,Gloomspite Gitz,0/1/2
Pete Horlock,Maggotkin of Nurgle,0/0/3
