NEW_EVENT_TAG,WHW GT Heat 1,3 Mar 2019,5
James Tinsdale,Idoneth Deepkin
Gary Percival,Skaven
Russ Veal,Flesh Eater Courts
Chris Tomlin,Phoenix Temple
Laurie H,Sylvaneth
Chris Banks,Skaven
Matt Lyons,Idoneth Deepkin
Piotr Kurkowski,Daughters of Khaine
Terry Pike,Maggotkin of Nurgle
Ritchie McAlley,Sylvaneth
Richard Arnolds,Flesh Eater Courts
Adam Mumford,Idoneth Deepkin
Daniel Scott,Daughters of Khaine
Andy Hughes,Legion of Sacrement
Sam Loving,Stormcast Eternals
Sam Saunders,Maggotkin of Nurgle
Andy Bryan,Skaven
Simon Eccles,Flesh Eater Courts
Chris Caves Jr,Stormcast Eternals
Matthew Spears,Nighthaunt
Jack Spencer,Flesh Eater Courts
Matthew Pardoe,Legions of Nagash
Balal Zafar,Idoneth Deepkin
Jack Mayland,Disciples of Tzeentch
John Williams,Blades of Khorne
Ciaran Smyth,Skaven
Dean Lymath,Stormcast Eternals
Ian Spink,Bonesplitterz
Michael Wilson,Hosts of Slaanesh
Ethan Leach,Idoneth Deepkin
Declan Waters,Gloomspite Gitz
Matthew Croad,Stormcast Eternals
Zak Russell,Gloomspite Gitz
Daniel Ford,Legion of Night
Michael Browning,Legion of Blood
Francis Arthur,Order
Alastair King,Skaven
Adam McColgan,Beastclaw Raiders
Thomas Waller,Stormcast Eternals
Dave Fraser,Gloomspite Gitz
Max Barton,Beasts of Chaos
Will Rose,Tomb Kings
Andy Davies,Skaven
Joe Jackson,Sylvaneth
Les Martin,Stormcast Eternals
Joshua Jenkins,Sylvaneth
Jack McQuiggin,Seraphon
Matthew Gouldesbrough,Grand Host of Nagash
Ceri Robson,Nighthaunt
Travis Kelly,Gloomspite Gitz
Alex McGee,Nighthaunt
James Field,Legion of Sacrement
Andy Mackay,Stormcast Eternals
Adam Riley,Stormcast Eternals
Tom Bell,Ironjawz
Chris Caves Snr,Destruction
Shane Hurley,Ironjawz
Player,Stormcast Eternals
Steve Wren,Disciples of Tzeentch
David Fulbrook,Maggotkin of Nurgle
Darren Phipps,Legion of Sacrement
Adam Rawson,Skaven
Dawid Grzesik,Order
Keith Winquist,Legions of Nagash
Neil Peckett,Stormcast Eternals
Liam Williams,Seraphon
Aaron Walters,Sylvaneth
Simon Cobb,Ironjawz
Lukas Madaj,Stormcast Eternals
Matt Willis,Order
William Morris,Legion of Sacrement
James Eveleigh,Gloomspite Gitz
Tim Bland,Gloomspite Gitz
David Smyth,Maggotkin of Nurgle
Simon Froley,Legion of Azgorh
Stewart Callander,Grand Host of Nagash
Daniel Elkington,Slaves to Darkness
James Beeden,Seraphon
Alex Johnson,Sylvaneth
