NEW_EVENT_TAG,Waaagh Warmup,15 Dec 2019,5
Henrik Reschreiter,Skaven
Martin Clarke,Flesh Eater Courts
James Wilson,Blades of Khorne
Anthony Moylan,Gloomspite Gitz
Richard Belfield,Flesh Eater Courts
James Brown,Blades of Khorne
Carl Hewson,Mawtribes
Joe Hadfield,Daughters of Khaine
Simon Holdridge,Flesh Eater Courts
Harry Warmill,Big Waaagh
Elliott Haugh,Ossiarch Bonereapers
Dave Cooper,Grand Host of Nagash
James Allen,Flesh Eater Courts
Gary Hennessey,Maggotkin of Nurgle
Piotr Wlodarczyk,Gloomspite Gitz
Gabriele Sosso,Legion of Blood
Matthew Byrne,Stormcast Eternals
Hamid Khabbazan,Cities of Sigmar
Simon Walker,Blades of Khorne
Jake Harding,Skaven
Andrew Mullan,Stormcast Eternals
Benjamin Woodcock,Ossiarch Bonereapers
Thomas Richardson,Stormcast Eternals
Andy Burgess,Cities of Sigmar
