NEW_EVENT_TAG,Aether Wars,02-02-2020,3
David Kane,Kharadron Overlords,3/0/0
Robby Wright,Idoneth Deepkin,3/0/0
Chris Caves Jnr,Disciples Of Tzeentch,3/0/0
Jay Kinsella,Blades of Khorne,2/0/1
Stephen Mitchell,Seraphon,2/0/1
Colin Cochrane,Daughters Of Khaine,2/0/1
Neil Montgomery,Idoneth Deepkin,2/0/1
David Robinson,Disciples Of Tzeentch,2/0/1
Ben Cochrane,Fyreslayers,2/0/1
Laura MacNeill,Flesh Eater Courts,2/0/1
Michael Wendel,Ogor Mawtribes,2/0/1
Craig Morrow,Disciples Of Tzeentch,2/0/1
Solomon Morrow,Ossiarch Bonereapers,2/0/1
Chris Nellis,Fyreslayers,1/0/2
Nathan Sandison,Ossiarch Bonereapers,1/0/2
Sean Murray,Stormcast Eternals,1/0/2
John Dorian,Skaven,1/0/2
Rik Eddon,Orruks,1/0/2
Tom Cothier,Fyreslayers,1/0/2
Michael Brough,Beasts of Chaos,1/0/2
Will O’Siorain,Idoneth Deepkin,1/0/2
Chris Archibald,Kharadron Overlords,1/0/2
Andrew Buckley,Ossiarch Bonereapers,1/0/2
Sam Green,Skaven,0/0/3
Paul Rea,Flesh Eater Courts,0/0/3
David Neagle,Ossiarch Bonereapers,0/0/3
