NEW_EVENT_TAG,Age of Sigmar at ValleyCon 2020,18-01-2020,5
Lee wilmot,Tempest Eye,5/0/0
Bo Paterson,Idoneth Deepkin,4/0/1
Mitch Harty,Skaven,3/0/1
Kerry Melody,Legion of Blood,3/0/1
Matt Britton,Ossiarch Bonereapers,4/0/1
Tre Winaka,Fyreslayers,3/0/2
Jonathan Ensor,Ogor Mawtribes,3/0/2
Shaun Bates,Stormcast Eternals,3/0/2
Aiden Nicol,Khorne Bloodbound,2/0/2
Regan O\'Halloran,Legion of Night,2/0/3
Mark Williams,Stormcast Eternals,2/0/3
Alexander Sinclair,Tzeentch Arcanites,2/0/3
Nicholas Jebsen,Ironjawz,2/0/3
Rohan Clark,Beasts of Chaos,2/0/3
Lachlan Ross,Hallowheart,2/0/3
Michael Stewart,Ossiarch Bonereapers,2/0/3
Ross Johnson,Gloomspite Gitz,2/0/3
Jared Angus,Slaves To Darkness,1/0/4
Luke Burrough,Skaven,1/0/4
Eli Herring,The Living City,0/0/4
