NEW_EVENT_TAG,Age of Sigmar @ Call to Arms 2019,03-08-2019,5
Mitch Harty,-,5/0/0
Scott Paterson,-,4/1/0
Bo Paterson,-,4/0/1
Aiden Nicol,-,4/0/1
Tre Winika,-,4/0/1
Regan OHalloran,-,3/0/2
Sloane Dougherty,-,3/1/1
Shaun Tubman,-,3/0/2
Rohan Clark,-,3/0/2
Lee wilmot,-,3/0/2
Seth Cook,-,3/0/2
Ryan McIntyre,-,3/0/2
Matthew Britton,-,3/0/2
Kerry Melody,-,3/0/2
Mark Williams,-,3/0/2
Alex Sinclair,-,3/0/2
Sam Campbell,-,2/0/3
Shaun Bates,-,2/0/3
Cameron King,-,2/0/3
Tom Lay,-,2/0/3
Kyle Duncalf,-,2/0/3
Andrew Hodgson,-,2/0/3
Charlie Lloyd,-,2/0/3
Nick Stubbe,-,2/0/3
Michael Stewart,-,2/0/3
Seamus Clifton,-,2/0/3
Philip Cordy,-,1/0/4
Peter van Rooyen,-,1/0/4
Zane Birkett,-,1/0/4
Kenny Tasi,-,1/0/4
Jared Angus,-,1/0/4
Luke Burrough,-,0/0/5
