NEW_EVENT_TAG,Age of Sigmar  The Games Cube DEC,17-12-2017,3
Scott Norwood,Tzeentch Arcanites,3/0/0
Chris tot,Seraphon,3/0/0
Eric Caramancion,Ironjawz,2/0/1
Nathan princi,Khorne Bloodbound,2/0/1
Zac Wilson,Seraphon,2/0/1
Brody Burger,Stormcast Eternals,2/0/1
Anthony Magro,Daemons Of Slaanesh,2/0/1
Nishan Aratoon,Sylvaneth,2/0/0
Shaun Ratcliffe,Daemons Of Tzeentch,2/0/1
Ben Camden-Smith,Sylvaneth,2/0/1
Deke J,Mixed,2/0/1
Simon Ross,Sylvaneth,1/0/2
Steven A,Free Peoples,1/0/2
Thomas Holdsworth,Mixed,1/0/2
Robert Reimers,Stormcast Eternals,1/0/1
Bradley Baker,Flesh Eater Courts,1/0/2
Ken Van't schip,Nighthaunt,1/0/2
Ben Spinetti,Dispossessed,1/0/2
Michael Healy,Daemons Of Khorne,0/0/3
Hadyn Coker,Daemons Of Khorne,0/0/3
Keith Williamson,Khorne Bloodbound,0/0/3
