NEW_EVENT_TAG,"AoS Aarhus - ""Charity"" 2.0 - Corona Edition",18-07-2020,3
Morten Poulsen,Blades of Khorne,3/0/0
Simon Fuglsang,Orruks,3/0/0
Kristian Krabsen,Orruks,2/0/1
Adam Nyborg,Gloomspite Gitz,2/0/1
Morten Holst Zachariasen,Idoneth Deepkin,2/0/1
Søren Egekvist,Flesh Eater Courts,2/0/1
Patrick,Seraphon,2/0/1
Sandor Engholm,Ossiarch Bonereapers,2/0/1
Kasper Frølich,Gloomspite Gitz,1/0/2
Brian,Fyreslayers,1/0/2
Martin lund,Maggotkin of Nurgle,1/0/2
Henrik,Daughters Of Khaine,1/0/2
Rasmus Salling,Skaven,1/0/2
Niels la Cour Møller,Kharadron Overlords,1/0/2
Nicolai Nixon ,Sylvaneth,0/0/3
Mikkel Kalb Bellahn,Maggotkin of Nurgle,0/0/3
Morten Poulsen,Kristian Krabsen,Morten Poulsen,Martin lund,Morten Poulsen,Patrick
Simon Fuglsang,Sandor Engholm,Simon Fuglsang,Søren Egekvist,Simon Fuglsang,Kasper Frølich
Morten Poulsen,Kristian Krabsen,Kristian Krabsen,Henrik,Kristian Krabsen,Niels la Cour Møller
Adam Nyborg,Martin lund,Adam Nyborg,Kasper Frølich,Sandor Engholm,Adam Nyborg
Morten Holst Zachariasen,Niels la Cour Møller,Sandor Engholm,Morten Holst Zachariasen,Morten Holst Zachariasen,Mikkel Kalb Bellahn
Søren Egekvist,Brian,Simon Fuglsang,Søren Egekvist,Søren Egekvist,Nicolai Nixon
Patrick,Henrik,Patrick,Rasmus Salling,Morten Poulsen,Patrick
Simon Fuglsang,Sandor Engholm,Sandor Engholm,Morten Holst Zachariasen,Sandor Engholm,Adam Nyborg
Kasper Frølich,Nicolai Nixon,Adam Nyborg,Kasper Frølich,Simon Fuglsang,Kasper Frølich
Søren Egekvist,Brian,Brian,Nicolai Nixon,Henrik,Brian
Adam Nyborg,Martin lund,Morten Poulsen,Martin lund,Martin lund,Rasmus Salling
Patrick,Henrik,Kristian Krabsen,Henrik,Henrik,Brian
Rasmus Salling,Mikkel Kalb Bellahn,Patrick,Rasmus Salling,Martin lund,Rasmus Salling
Morten Holst Zachariasen,Niels la Cour Møller,Niels la Cour Møller,Mikkel Kalb Bellahn,Kristian Krabsen,Niels la Cour Møller
Kasper Frølich,Nicolai Nixon,Brian,Nicolai Nixon,Søren Egekvist,Nicolai Nixon
Rasmus Salling,Mikkel Kalb Bellahn,Niels la Cour Møller,Mikkel Kalb Bellahn,Morten Holst Zachariasen,Mikkel Kalb Bellahn
