NEW_EVENT_TAG,AOS Draw,29-05-2018,6
James Hughes,-,6/0/0
Liam Peirson,-,5/0/1
Ray Fewtrell,-,5/0/1
Conor Stewart,-,4/1/1
Brandon Watkins,-,4/1/1
S W Symes,-,4/0/2
Nathan Foster,-,4/0/2
Edward Shaw,-,4/0/2
Dave Rider,-,4/0/2
Will Mott,-,3/1/2
Stephen Davidson,-,3/1/2
Ieuan Robson,-,3/1/2
Ash Gavin,-,3/0/3
Shaun Wright,-,3/0/3
Andrew Campbell,-,3/0/3
Tom Fildes,-,3/0/3
Michael Bennett,-,3/0/3
Andrew Lampkin,-,3/0/3
Andy Phizacklea,-,3/0/3
Jack Westaway,-,2/0/4
Barry White,-,2/0/4
Aaron Schofield,-,2/0/4
James Taylor,-,2/0/4
Matt McDonell,-,2/0/4
james hampson,-,2/0/4
Matthew Pridgeon,-,2/0/4
Ian O'Brien,-,1/1/4
Stephen Prescott,-,1/0/5
Paul Scott,-,1/0/5
Christian Kewin,-,0/0/6
