NEW_EVENT_TAG,Battle of Copenhagen 2020,15-02-2020,5
Jesper melander,-,5/0/0
Dennis Bengtsson,-,5/0/0
Adam Sääf,-,4/0/1
Aleksandar Zekovski,-,4/0/1
Anders Knudsen,-,4/0/1
Kasper agdal,-,4/0/1
Liara Pamnell,-,4/0/1
Richardt Olsen,-,4/0/1
Timm Nyegaard,-,3/0/2
Jonathan Anholm,-,3/0/2
Andy Schou,-,3/0/2
Alexander Hansen,-,3/0/2
Casper Karlsmose,-,3/0/2
Thomas Henriksen,-,3/0/2
Flemming Johansen,-,3/0/2
Niels Skov,-,3/0/2
Rune Holse,-,3/0/2
Mikkel Flindt,-,3/0/2
Regin Olsen,-,3/0/2
Kristoffer Pahl,-,3/0/2
Mads Møller Christiansen,-,3/0/2
Mikkel Kjerumgaard,-,3/0/2
Felix Björnberg,-,3/0/2
Alex Groskopf,-,2/0/2
Jimmi Jacobsen,-,3/0/1
Mads Therkildsen,-,2/0/3
Niclas Hansson,-,2/0/3
Rasmus Purkhus,-,2/0/3
Jannick Teige,-,2/0/3
Morten Winkel,-,2/0/3
Morten Poulsen,-,2/0/3
Simon Eliasson,-,2/0/3
Stephen Lüdeking,-,2/0/3
Oliver Wang Hansen,-,2/0/3
Christoffer Karlsmose,-,2/0/3
Henrik Seehuusen,-,2/0/3
Theis Thulin,-,2/0/3
Morten Borre Hansen,-,2/0/3
Morten Wifstrand,-,1/0/4
Morten Holst Zachariasen,-,1/0/4
Lena Jensen,-,1/0/4
Rasmus Nielsen,-,1/0/4
Rasmus Mortensen,-,1/0/4
Rasmus Larsen,-,1/0/4
Stefan Holm,-,1/0/4
Thomas Ackermann,-,1/0/2
Tomas Larsen,-,1/0/2
Nicklas Brynje,-,1/0/4
Danny Diemer,-,1/0/2
Tobias Bertelsen,-,0/0/5
