NEW_EVENT_TAG,Bloodshed In The Realms 2019,31-08-2019,3
Laurie Huggett-Wilde,Sylvaneth,3/0/0
Dan Ryan,Skaven,3/0/0
Martin Clarke,Skaven,3/0/0
Darron Styles,Seraphon,2/0/1
Alex Jones,Skaven,2/0/1
Benjamin Savva,Skaven,2/0/1
Mark curtis,Sylvaneth,2/0/1
Myles Mulkerrins,Ironjawz,2/0/1
Angus Brain,Stormcast Eternals,2/0/1
Neil Samuels,Hosts of Slaanesh,2/0/1
Bryn Roberts,Sylvaneth,1/0/2
Owen Jackson,Sylvaneth,1/0/2
Matt Rogers,Skaven,1/0/2
Barry Hall,Disciples Of Tzeentch,1/0/2
Liam Prendergast,Skaven,1/0/2
Matt Ainge,Gloomspite Gitz,1/0/2
Umar Ali,Legion of Blood,1/0/2
Johnny Armstrong,Skaven,0/0/3
Jack Davenport,Stormcast Eternals,0/0/3
Carl Hewson,Gloomspite Gitz,0/0/3
BLAH,-,0/0/0
