NEW_EVENT_TAG,Bloodshed In The Shires 2019,26-10-2019,5
Leo Rautonen,Ironjawz,5/0/0
Jack Armstrong,Fyreslayers,5/0/0
James Tinsdale,Flesh Eater Courts,5/0/0
Daniel Mitchell,Seraphon,4/0/1
Matt Lyons,Flesh Eater Courts,4/0/1
Pask Made Me Bring This,Hosts of Slaanesh,4/0/1
Max Barton,Idoneth Deepkin,4/0/1
Ben Murphy,Grand Host of Nagash,4/0/1
Simon Cobb,Ironjawz,4/0/1
Laurie Huggett-Wilde,Sylvaneth,4/0/1
Michael Stewart,Fyreslayers,4/0/1
Ady Mc,Hosts of Slaanesh,4/0/1
James Boots,Blades of Khorne,4/0/1
Thomas Parry,Stormcast Eternals,4/0/1
Lewis Swan,Blades of Khorne,3/0/2
Benjamin Savva,Bonesplitterz,3/0/2
TL Low,Idoneth Deepkin,3/0/2
Martin Morrin,Blades of Khorne,3/0/2
Ritchie Mcalley,Gloomspite Gitz,3/0/2
John Burgess,Blades of Khorne,3/0/2
Samuel Saunders,Stormcast Eternals,3/0/2
James Grant,Stormcast Eternals,3/0/2
Tom Lees,Gloomspite Gitz,3/0/2
Mikey Gilson,Bonesplitterz,3/0/2
Ben Wood,Seraphon,3/0/2
Paul Buckler,Mixed,3/0/2
Aaron Wilson,Sylvaneth,3/0/2
Alex Jones,Skaven,3/0/2
Alex Bruce,Mixed,3/0/2
Ben Crowe,Ironjawz,3/0/2
Chris Tomlin,Ironjawz,3/0/2
Ross McGowan,Hosts of Slaanesh,3/0/2
James Hobbs,Seraphon,3/0/2
Thomas Bell,Ironjawz,3/0/2
Chris Hibbins,Sylvaneth,3/0/2
Craig Namvar,Disciples Of Tzeentch,3/0/2
Michael wilson,Hosts of Slaanesh,3/0/2
Darron Styles,Seraphon,3/0/2
Ralph Hughes,Mixed,2/0/3
Ben Johnson,Mixed,2/0/3
Vincent Chan,Legion of Grief,2/0/3
Miles Hewitt,Skaven,2/0/3
Will Philpott,Mixed,2/0/3
Mark curtis,Bonesplitterz,2/0/3
Nick Featherstone,Idoneth Deepkin,2/0/3
Myles mulkerrins,Ironjawz,2/0/3
Obaid Bin-Nasir,Stormcast Eternals,2/0/3
Steven Philips,Blades of Khorne,2/0/3
lee kay,Mixed,2/0/3
"Mojgorox, Avatar of Rage",Beasts of Chaos,2/0/3
Alasdair Hutchinson,Gloomspite Gitz,2/0/3
Gabriele Cesare Sosso,Legion of Blood,2/0/3
James Hanson,Fyreslayers,2/0/3
Wayne Rendell,Ironjawz,2/0/3
Joe Carr,Disciples Of Tzeentch,2/0/3
Ben Price,Seraphon,2/0/3
Chris Francis,Sylvaneth,2/0/3
Darren Powell,Blades of Khorne,2/0/3
Clinton Liem,Ironjawz,2/0/3
Aaron Bailey,Mixed,2/0/3
Reece West,Stormcast Eternals,2/0/3
Jerome Banyuls,Grand Host of Nagash,2/0/3
Edward Hamon,Disciples Of Tzeentch,1/0/4
Owen Jackson,Sylvaneth,1/0/4
James Eveleigh,Gloomspite Gitz,1/0/4
Mikey Galvin,Flesh Eater Courts,1/0/4
MICHAEL BROWNING,Legion of Sacrament,1/0/4
Bryn Roberts,Sylvaneth,1/0/4
Patrick O\'Sullivan,Idoneth Deepkin,1/0/4
Jen Lyons,Nighthaunt,1/0/4
Rene Jellitsch,Sylvaneth,1/0/4
Jack Davenport,Stormcast Eternals,1/0/4
Tim Pearce,Stormcast Eternals,1/0/4
Daniel White,Skaven,1/0/2
Simon Coe,Disciples Of Tzeentch,1/0/4
Will Johnson,Blades of Khorne,1/0/4
Ben Smith,Bonesplitterz,1/0/1
Julien Ginther,Stormcast Eternals,0/0/5
Andy Hall,Gloomspite Gitz,0/0/5
Richard Arnold,Hosts of Slaanesh,0/0/1
